iter,loss,rmse
1,0.8053,2.7514
2,1.0729,2.7334
3,1.2060,2.7297
4,1.2853,2.7281
5,1.3378,2.7133
6,1.3747,2.7130
7,1.4020,2.7058
8,1.4227,2.7068
9,1.4387,2.7047
10,1.4514,2.6988
11,1.4615,2.6915
12,1.4694,2.6834
13,1.4755,2.6744
14,1.4797,2.6711
15,1.4830,2.6608
16,1.4847,2.6532
17,1.4855,2.6418
18,1.4849,2.6311
19,1.4837,2.6165
20,1.4811,2.6056
21,1.4777,2.5868
22,1.4736,2.5658
23,1.4695,2.5396
24,1.4642,2.5127
25,1.4585,2.4829
26,1.4528,2.4506
27,1.4477,2.4153
28,1.4425,2.3791
29,1.4376,2.3436
30,1.4325,2.3087
31,1.4275,2.2748
32,1.4227,2.2413
33,1.4182,2.2100
34,1.4142,2.1820
35,1.4100,2.1560
36,1.4053,2.1302
37,1.4006,2.1056
38,1.3958,2.0847
39,1.3910,2.0646
40,1.3872,2.0520
41,1.3828,2.0336
42,1.3782,2.0165
43,1.3741,2.0014
44,1.3700,1.9861
45,1.3660,1.9697
46,1.3621,1.9551
47,1.3582,1.9416
48,1.3545,1.9263
49,1.3505,1.9120
50,1.3466,1.8982
51,1.3427,1.8837
52,1.3391,1.8697
53,1.3353,1.8550
54,1.3317,1.8409
55,1.3283,1.8270
56,1.3251,1.8141
57,1.3215,1.8009
58,1.3185,1.7883
59,1.3152,1.7761
60,1.3117,1.7679
61,1.3084,1.7560
62,1.3052,1.7443
63,1.3020,1.7331
64,1.2989,1.7221
65,1.2960,1.7118
66,1.2931,1.7018
67,1.2902,1.6923
68,1.2871,1.6829
69,1.2842,1.6733
70,1.2814,1.6646
71,1.2783,1.6558
72,1.2754,1.6470
73,1.2727,1.6378
74,1.2699,1.6287
75,1.2670,1.6198
76,1.2639,1.6114
77,1.2610,1.6023
78,1.2583,1.5943
79,1.2557,1.5858
80,1.2534,1.5804
81,1.2507,1.5720
82,1.2480,1.5640
83,1.2454,1.5565
84,1.2427,1.5489
85,1.2401,1.5418
86,1.2379,1.5349
87,1.2354,1.5279
88,1.2329,1.5211
89,1.2302,1.5140
90,1.2280,1.5074
91,1.2256,1.5006
92,1.2237,1.4946
93,1.2216,1.4888
94,1.2192,1.4828
95,1.2172,1.4769
96,1.2152,1.4709
97,1.2133,1.4649
98,1.2113,1.4589
99,1.2096,1.4538
100,1.2076,1.4499
101,1.2054,1.4441
102,1.2033,1.4387
103,1.2014,1.4335
104,1.1993,1.4281
105,1.1971,1.4228
106,1.1954,1.4178
107,1.1936,1.4128
108,1.1916,1.4079
109,1.1898,1.4030
110,1.1879,1.3981
111,1.1862,1.3931
112,1.1843,1.3881
113,1.1825,1.3831
114,1.1807,1.3781
115,1.1785,1.3735
116,1.1768,1.3689
117,1.1751,1.3645
118,1.1733,1.3600
119,1.1714,1.3557
120,1.1695,1.3525
121,1.1678,1.3480
122,1.1660,1.3438
123,1.1643,1.3398
