iter,loss,rmse
1,0.8064,2.9134
2,1.0736,2.9288
3,1.2060,2.9279
4,1.2845,2.9257
5,1.3359,2.9248
6,1.3718,2.9219
7,1.3981,2.9175
8,1.4177,2.9099
9,1.4326,2.9075
10,1.4441,2.9021
11,1.4528,2.8986
12,1.4594,2.8908
13,1.4640,2.8835
14,1.4672,2.8744
15,1.4691,2.8627
16,1.4695,2.8528
17,1.4686,2.8420
18,1.4667,2.8271
19,1.4638,2.8107
20,1.4600,2.7933
21,1.4557,2.7730
22,1.4508,2.7514
23,1.4448,2.7292
24,1.4385,2.7042
25,1.4321,2.6765
26,1.4259,2.6468
27,1.4195,2.6162
28,1.4135,2.5844
29,1.4069,2.5514
30,1.4010,2.5172
31,1.3948,2.4813
32,1.3887,2.4455
33,1.3828,2.4098
34,1.3768,2.3751
35,1.3717,2.3417
36,1.3659,2.3091
37,1.3609,2.2785
38,1.3557,2.2468
39,1.3515,2.2179
40,1.3467,2.1897
41,1.3419,2.1643
42,1.3371,2.1391
43,1.3326,2.1142
44,1.3277,2.0916
45,1.3223,2.0688
46,1.3172,2.0479
47,1.3118,2.0277
48,1.3068,2.0085
49,1.3020,1.9903
50,1.2970,1.9735
51,1.2922,1.9574
52,1.2881,1.9414
53,1.2833,1.9251
54,1.2792,1.9104
55,1.2748,1.8963
56,1.2709,1.8823
57,1.2667,1.8685
58,1.2625,1.8555
59,1.2585,1.8426
60,1.2557,1.8305
61,1.2523,1.8179
62,1.2490,1.8111
63,1.2452,1.7979
64,1.2413,1.7852
65,1.2376,1.7732
66,1.2335,1.7607
67,1.2298,1.7495
68,1.2263,1.7386
69,1.2231,1.7276
70,1.2197,1.7166
71,1.2161,1.7060
72,1.2130,1.6962
73,1.2093,1.6858
74,1.2059,1.6759
75,1.2025,1.6658
76,1.1997,1.6572
77,1.1967,1.6480
78,1.1937,1.6392
79,1.1907,1.6307
80,1.1875,1.6220
81,1.1845,1.6134
82,1.1815,1.6053
83,1.1786,1.5972
84,1.1758,1.5896
85,1.1728,1.5822
86,1.1699,1.5748
87,1.1673,1.5674
88,1.1647,1.5599
89,1.1622,1.5534
90,1.1598,1.5467
91,1.1574,1.5399
92,1.1546,1.5333
93,1.1520,1.5267
94,1.1493,1.5202
95,1.1466,1.5138
96,1.1442,1.5079
97,1.1420,1.5018
98,1.1395,1.4955
99,1.1369,1.4892
100,1.1349,1.4838
101,1.1325,1.4781
102,1.1304,1.4727
103,1.1281,1.4670
104,1.1256,1.4611
105,1.1235,1.4557
106,1.1212,1.4503
107,1.1191,1.4449
108,1.1169,1.4399
109,1.1148,1.4348
110,1.1128,1.4299
111,1.1110,1.4250
112,1.1090,1.4200
113,1.1068,1.4155
114,1.1047,1.4108
115,1.1026,1.4066
116,1.1009,1.4023
117,1.0986,1.3978
118,1.0964,1.3933
119,1.0943,1.3886
120,1.0922,1.3838
121,1.0903,1.3794
122,1.0886,1.3752
123,1.0870,1.3712
124,1.0853,1.3689
125,1.0834,1.3648
126,1.0814,1.3606
127,1.0794,1.3565
128,1.0775,1.3523
129,1.0754,1.3479
130,1.0734,1.3439
131,1.0715,1.3396
132,1.0695,1.3356
133,1.0676,1.3317
134,1.0659,1.3279
135,1.0640,1.3242
136,1.0622,1.3204
137,1.0605,1.3168
138,1.0586,1.3130
139,1.0568,1.3095
140,1.0550,1.3061
141,1.0535,1.3026
142,1.0519,1.2991
143,1.0504,1.2956
144,1.0489,1.2924
145,1.0474,1.2895
146,1.0459,1.2863
147,1.0446,1.2833
148,1.0429,1.2798
149,1.0413,1.2770
150,1.0397,1.2738
151,1.0385,1.2710
152,1.0370,1.2679
153,1.0355,1.2648
154,1.0342,1.2619
155,1.0327,1.2589
156,1.0313,1.2562
157,1.0300,1.2535
158,1.0286,1.2505
159,1.0271,1.2475
160,1.0257,1.2445
161,1.0245,1.2421
162,1.0235,1.2396
163,1.0220,1.2367
164,1.0208,1.2344
165,1.0198,1.2320
166,1.0186,1.2296
167,1.0173,1.2270
168,1.0161,1.2247
169,1.0151,1.2224
170,1.0140,1.2201
171,1.0129,1.2178
172,1.0117,1.2154
173,1.0106,1.2130
174,1.0095,1.2106
175,1.0084,1.2086
176,1.0074,1.2064
177,1.0062,1.2042
178,1.0051,1.2019
179,1.0041,1.1999
180,1.0031,1.1977
181,1.0021,1.1955
182,1.0012,1.1936
183,1.0003,1.1915
184,0.9992,1.1893
185,0.9982,1.1874
186,0.9970,1.1860
187,0.9957,1.1838
188,0.9947,1.1816
189,0.9936,1.1796
190,0.9923,1.1774
191,0.9911,1.1752
192,0.9900,1.1732
193,0.9889,1.1709
194,0.9878,1.1689
195,0.9867,1.1670
196,0.9856,1.1649
197,0.9845,1.1626
198,0.9835,1.1608
199,0.9826,1.1590
200,0.9816,1.1571
201,0.9807,1.1554
202,0.9798,1.1535
203,0.9787,1.1517
204,0.9777,1.1496
205,0.9767,1.1476
206,0.9757,1.1460
207,0.9747,1.1441
208,0.9739,1.1423
209,0.9730,1.1404
210,0.9721,1.1386
211,0.9713,1.1369
212,0.9704,1.1352
213,0.9694,1.1333
214,0.9684,1.1314
215,0.9676,1.1298
216,0.9668,1.1281
217,0.9659,1.1265
218,0.9650,1.1250
219,0.9642,1.1233
220,0.9635,1.1220
221,0.9627,1.1206
222,0.9619,1.1192
223,0.9611,1.1177
224,0.9604,1.1163
225,0.9596,1.1146
226,0.9588,1.1132
227,0.9580,1.1118
228,0.9572,1.1103
229,0.9564,1.1088
230,0.9557,1.1073
231,0.9548,1.1058
232,0.9540,1.1041
233,0.9534,1.1027
234,0.9527,1.1010
235,0.9519,1.0997
236,0.9513,1.0986
237,0.9506,1.0972
238,0.9500,1.0959
239,0.9495,1.0947
240,0.9489,1.0933
241,0.9482,1.0920
242,0.9476,1.0908
243,0.9469,1.0896
244,0.9462,1.0883
245,0.9455,1.0870
246,0.9448,1.0857
247,0.9441,1.0844
248,0.9435,1.0836
249,0.9427,1.0823
250,0.9420,1.0808
251,0.9412,1.0794
252,0.9406,1.0782
253,0.9398,1.0767
254,0.9390,1.0752
255,0.9383,1.0740
256,0.9376,1.0727
257,0.9368,1.0714
258,0.9361,1.0701
259,0.9354,1.0686
260,0.9346,1.0672
261,0.9339,1.0659
262,0.9332,1.0647
263,0.9325,1.0634
264,0.9318,1.0622
265,0.9312,1.0607
266,0.9305,1.0596
267,0.9299,1.0584
268,0.9291,1.0571
269,0.9285,1.0562
270,0.9278,1.0549
271,0.9271,1.0538
272,0.9265,1.0527
273,0.9259,1.0515
274,0.9252,1.0504
275,0.9246,1.0493
276,0.9240,1.0483
277,0.9234,1.0473
278,0.9230,1.0463
279,0.9223,1.0452
280,0.9217,1.0441
281,0.9211,1.0431
282,0.9206,1.0420
283,0.9200,1.0408
284,0.9194,1.0398
285,0.9188,1.0388
286,0.9182,1.0377
287,0.9177,1.0367
288,0.9171,1.0355
289,0.9166,1.0346
290,0.9161,1.0333
291,0.9156,1.0324
292,0.9151,1.0314
293,0.9145,1.0304
294,0.9140,1.0295
295,0.9135,1.0285
296,0.9130,1.0276
297,0.9125,1.0268
298,0.9120,1.0258
299,0.9116,1.0248
300,0.9111,1.0238
301,0.9106,1.0229
302,0.9101,1.0220
303,0.9096,1.0211
304,0.9091,1.0201
305,0.9085,1.0192
306,0.9081,1.0182
