iter,loss,rmse
1,0.8062,2.9650
2,1.0736,2.9417
3,1.2063,2.9183
4,1.2851,2.8940
5,1.3368,2.8685
6,1.3731,2.8407
7,1.3997,2.8106
8,1.4197,2.7762
9,1.4351,2.7371
10,1.4469,2.6925
11,1.4561,2.6408
12,1.4630,2.5821
13,1.4682,2.5128
14,1.4717,2.4331
15,1.4740,2.3456
16,1.4750,2.2430
17,1.4750,2.1329
18,1.4741,2.0131
19,1.4725,1.8885
20,1.4704,1.7596
21,1.4682,1.6469
22,1.4660,1.5432
23,1.4641,1.4688
24,1.4624,1.4228
25,1.4608,1.3960
26,1.4592,1.3888
27,1.4573,1.3959
28,1.4553,1.4151
29,1.4531,1.4393
30,1.4509,1.4684
31,1.4486,1.5009
32,1.4464,1.5299
33,1.4442,1.5557
34,1.4421,1.5736
35,1.4401,1.5871
36,1.4381,1.5871
37,1.4362,1.5823
38,1.4342,1.5680
39,1.4323,1.5519
40,1.4303,1.5304
41,1.4284,1.5033
42,1.4264,1.4783
43,1.4245,1.4570
44,1.4226,1.4347
45,1.4208,1.4118
46,1.4190,1.3998
47,1.4172,1.3906
48,1.4154,1.3794
49,1.4136,1.3797
50,1.4118,1.3792
51,1.4100,1.3838
52,1.4082,1.3869
53,1.4064,1.3869
54,1.4047,1.3929
55,1.4029,1.3914
56,1.4011,1.3867
57,1.3994,1.3764
58,1.3976,1.3685
59,1.3959,1.3629
60,1.3941,1.3444
61,1.3923,1.3281
62,1.3906,1.3153
63,1.3888,1.2974
64,1.3871,1.2843
65,1.3853,1.2714
66,1.3836,1.2579
67,1.3818,1.2493
68,1.3801,1.2497
69,1.3783,1.2456
70,1.3766,1.2387
71,1.3748,1.2406
72,1.3731,1.2361
73,1.3714,1.2353
74,1.3696,1.2287
75,1.3679,1.2225
76,1.3662,1.2181
77,1.3645,1.2117
78,1.3628,1.1997
79,1.3611,1.1846
80,1.3594,1.1769
81,1.3577,1.1655
82,1.3560,1.1617
83,1.3543,1.1562
84,1.3527,1.1516
85,1.3510,1.1421
86,1.3493,1.1409
87,1.3476,1.1350
88,1.3459,1.1357
89,1.3442,1.1274
90,1.3426,1.1229
91,1.3409,1.1136
92,1.3393,1.1128
93,1.3376,1.1024
94,1.3360,1.0917
95,1.3343,1.0812
96,1.3327,1.0774
97,1.3310,1.0699
98,1.3294,1.0673
99,1.3277,1.0581
100,1.3261,1.0588
101,1.3245,1.0563
102,1.3229,1.0501
103,1.3212,1.0452
104,1.3196,1.0424
105,1.3180,1.0374
106,1.3164,1.0278
107,1.3148,1.0217
108,1.3131,1.0112
109,1.3115,1.0031
110,1.3099,0.9980
111,1.3083,0.9930
112,1.3067,0.9914
113,1.3051,0.9824
114,1.3035,0.9827
115,1.3018,0.9783
116,1.3002,0.9713
117,1.2986,0.9658
118,1.2970,0.9574
119,1.2954,0.9500
120,1.2938,0.9426
121,1.2921,0.9326
122,1.2905,0.9281
123,1.2888,0.9225
124,1.2872,0.9190
125,1.2855,0.9169
126,1.2838,0.9113
127,1.2821,0.9042
128,1.2804,0.8979
129,1.2787,0.8876
130,1.2769,0.8809
131,1.2752,0.8700
132,1.2734,0.8627
133,1.2716,0.8566
134,1.2697,0.8509
135,1.2678,0.8437
136,1.2659,0.8293
137,1.2640,0.8211
138,1.2620,0.8163
139,1.2600,0.8034
140,1.2579,0.7935
141,1.2558,0.7850
142,1.2537,0.7739
143,1.2515,0.7659
144,1.2493,0.7544
145,1.2471,0.7506
146,1.2448,0.7481
147,1.2425,0.7400
148,1.2403,0.7371
149,1.2380,0.7406
150,1.2357,0.7318
151,1.2333,0.7302
152,1.2310,0.7248
153,1.2286,0.7215
154,1.2263,0.7235
155,1.2240,0.7177
156,1.2216,0.7151
157,1.2193,0.7134
158,1.2169,0.7116
159,1.2146,0.7081
160,1.2122,0.7076
161,1.2099,0.7060
162,1.2076,0.7014
163,1.2052,0.6972
164,1.2029,0.6966
165,1.2006,0.6964
166,1.1983,0.6913
167,1.1960,0.6874
168,1.1937,0.6840
169,1.1914,0.6811
170,1.1891,0.6845
171,1.1869,0.6839
172,1.1846,0.6793
173,1.1824,0.6718
174,1.1802,0.6773
175,1.1780,0.6704
176,1.1758,0.6688
177,1.1736,0.6686
178,1.1714,0.6666
179,1.1692,0.6635
180,1.1670,0.6569
181,1.1649,0.6504
182,1.1627,0.6577
183,1.1606,0.6504
184,1.1585,0.6492
185,1.1564,0.6545
186,1.1543,0.6478
187,1.1522,0.6403
188,1.1502,0.6478
189,1.1481,0.6448
190,1.1461,0.6353
191,1.1441,0.6387
192,1.1421,0.6352
193,1.1401,0.6341
194,1.1381,0.6300
195,1.1361,0.6313
196,1.1341,0.6338
197,1.1322,0.6360
198,1.1302,0.6309
199,1.1283,0.6246
200,1.1264,0.6348
201,1.1245,0.6266
202,1.1226,0.6218
203,1.1207,0.6133
204,1.1189,0.6205
205,1.1170,0.6182
206,1.1152,0.6172
207,1.1133,0.6174
208,1.1115,0.6155
209,1.1097,0.6149
210,1.1079,0.6140
211,1.1062,0.6099
212,1.1044,0.6154
213,1.1026,0.6102
214,1.1009,0.6120
215,1.0991,0.6037
216,1.0974,0.6018
217,1.0957,0.6058
218,1.0940,0.6018
219,1.0923,0.6009
220,1.0906,0.6000
221,1.0889,0.5972
222,1.0873,0.6004
223,1.0856,0.5980
224,1.0840,0.6009
225,1.0823,0.5974
226,1.0807,0.5893
227,1.0791,0.5995
228,1.0775,0.5974
229,1.0759,0.5945
230,1.0743,0.5907
231,1.0728,0.5968
232,1.0712,0.5940
233,1.0696,0.5848
234,1.0681,0.5946
235,1.0666,0.5845
236,1.0650,0.5852
237,1.0635,0.5827
238,1.0620,0.5822
239,1.0605,0.5806
240,1.0590,0.5755
241,1.0575,0.5810
242,1.0560,0.5815
243,1.0545,0.5768
244,1.0531,0.5782
245,1.0516,0.5800
246,1.0502,0.5768
247,1.0487,0.5681
248,1.0473,0.5788
249,1.0459,0.5774
250,1.0445,0.5720
251,1.0430,0.5723
252,1.0416,0.5711
253,1.0402,0.5648
254,1.0388,0.5698
255,1.0375,0.5690
256,1.0361,0.5647
257,1.0347,0.5700
258,1.0334,0.5589
259,1.0320,0.5608
260,1.0306,0.5534
261,1.0293,0.5572
262,1.0280,0.5645
263,1.0266,0.5553
264,1.0253,0.5528
265,1.0240,0.5572
266,1.0226,0.5536
267,1.0213,0.5552
268,1.0200,0.5530
269,1.0187,0.5522
270,1.0174,0.5538
271,1.0161,0.5515
272,1.0149,0.5541
273,1.0136,0.5525
274,1.0123,0.5485
275,1.0111,0.5515
276,1.0098,0.5487
277,1.0086,0.5490
278,1.0073,0.5466
279,1.0061,0.5479
280,1.0049,0.5397
281,1.0036,0.5408
282,1.0024,0.5394
283,1.0012,0.5432
284,1.0000,0.5384
285,0.9988,0.5402
286,0.9976,0.5386
287,0.9964,0.5377
288,0.9952,0.5385
289,0.9940,0.5467
290,0.9928,0.5413
291,0.9917,0.5386
292,0.9905,0.5334
293,0.9893,0.5333
294,0.9882,0.5349
295,0.9870,0.5379
296,0.9859,0.5284
297,0.9847,0.5325
298,0.9836,0.5322
299,0.9825,0.5349
