iter,loss,rmse
1,0.8165,2.9805
2,1.0870,2.9717
3,1.2209,2.9623
4,1.3002,2.9526
5,1.3521,2.9428
6,1.3884,2.9326
7,1.4149,2.9222
8,1.4349,2.9112
9,1.4503,2.8996
10,1.4623,2.8878
11,1.4718,2.8754
12,1.4794,2.8619
13,1.4854,2.8478
14,1.4901,2.8323
15,1.4937,2.8157
16,1.4965,2.7987
17,1.4985,2.7800
18,1.4998,2.7598
19,1.5005,2.7374
20,1.5007,2.7155
21,1.5005,2.6898
22,1.4998,2.6615
23,1.4987,2.6327
24,1.4972,2.6010
25,1.4953,2.5660
26,1.4931,2.5304
27,1.4905,2.4872
28,1.4876,2.4468
29,1.4845,2.4007
30,1.4810,2.3532
31,1.4773,2.3006
32,1.4733,2.2446
33,1.4691,2.1874
34,1.4646,2.1244
35,1.4599,2.0594
36,1.4551,1.9972
37,1.4500,1.9237
38,1.4448,1.8581
39,1.4394,1.7849
40,1.4339,1.7131
41,1.4283,1.6454
42,1.4226,1.5804
43,1.4168,1.5200
44,1.4111,1.4574
45,1.4052,1.4049
46,1.3993,1.3490
47,1.3935,1.3049
48,1.3875,1.2637
49,1.3816,1.2267
50,1.3757,1.1947
51,1.3699,1.1668
52,1.3640,1.1444
53,1.3582,1.1197
54,1.3523,1.1036
55,1.3465,1.0879
56,1.3408,1.0725
57,1.3351,1.0604
58,1.3295,1.0498
59,1.3240,1.0427
60,1.3185,1.0289
61,1.3131,1.0250
62,1.3077,1.0126
63,1.3025,1.0063
64,1.2974,0.9964
65,1.2924,0.9903
66,1.2875,0.9837
67,1.2826,0.9754
68,1.2779,0.9697
69,1.2732,0.9626
70,1.2686,0.9581
71,1.2641,0.9519
72,1.2597,0.9468
73,1.2554,0.9410
74,1.2511,0.9368
75,1.2470,0.9336
76,1.2429,0.9302
77,1.2388,0.9258
78,1.2349,0.9230
79,1.2310,0.9200
80,1.2271,0.9164
81,1.2233,0.9144
82,1.2196,0.9115
83,1.2159,0.9083
84,1.2123,0.9047
85,1.2087,0.9026
86,1.2052,0.8999
87,1.2017,0.8966
88,1.1983,0.8940
89,1.1949,0.8940
90,1.1916,0.8904
91,1.1883,0.8870
92,1.1851,0.8849
93,1.1819,0.8821
94,1.1787,0.8777
95,1.1756,0.8778
96,1.1725,0.8743
97,1.1694,0.8721
98,1.1664,0.8672
99,1.1634,0.8648
100,1.1605,0.8629
101,1.1576,0.8596
102,1.1547,0.8581
103,1.1518,0.8537
104,1.1490,0.8519
105,1.1462,0.8498
106,1.1435,0.8469
107,1.1407,0.8447
108,1.1380,0.8414
109,1.1354,0.8393
110,1.1327,0.8367
111,1.1301,0.8345
112,1.1275,0.8314
113,1.1249,0.8288
114,1.1224,0.8263
115,1.1199,0.8263
116,1.1174,0.8249
117,1.1150,0.8198
118,1.1126,0.8187
119,1.1102,0.8178
120,1.1078,0.8145
121,1.1055,0.8152
122,1.1031,0.8107
123,1.1009,0.8124
124,1.0986,0.8092
125,1.0964,0.8066
126,1.0941,0.8062
127,1.0919,0.8030
128,1.0898,0.8026
129,1.0876,0.8002
130,1.0855,0.8006
131,1.0834,0.8001
132,1.0813,0.7978
133,1.0793,0.7952
134,1.0772,0.7950
135,1.0752,0.7919
136,1.0732,0.7904
137,1.0712,0.7880
138,1.0693,0.7892
139,1.0674,0.7856
140,1.0654,0.7866
141,1.0635,0.7847
142,1.0617,0.7832
143,1.0598,0.7815
144,1.0580,0.7818
145,1.0561,0.7826
146,1.0543,0.7793
147,1.0526,0.7784
148,1.0508,0.7758
149,1.0490,0.7747
150,1.0473,0.7772
151,1.0456,0.7748
152,1.0439,0.7731
153,1.0422,0.7705
154,1.0406,0.7729
155,1.0389,0.7700
156,1.0373,0.7688
157,1.0357,0.7653
158,1.0340,0.7644
159,1.0325,0.7650
160,1.0309,0.7641
161,1.0293,0.7646
162,1.0278,0.7618
163,1.0263,0.7614
164,1.0247,0.7580
165,1.0232,0.7560
166,1.0217,0.7586
167,1.0203,0.7612
168,1.0188,0.7584
169,1.0173,0.7561
170,1.0159,0.7519
171,1.0145,0.7548
172,1.0130,0.7560
173,1.0116,0.7555
174,1.0103,0.7542
175,1.0089,0.7491
176,1.0075,0.7537
177,1.0061,0.7474
178,1.0048,0.7522
179,1.0035,0.7486
180,1.0021,0.7460
181,1.0008,0.7460
182,0.9995,0.7435
183,0.9982,0.7483
184,0.9969,0.7449
185,0.9957,0.7445
186,0.9944,0.7408
187,0.9931,0.7400
188,0.9919,0.7428
189,0.9907,0.7428
190,0.9895,0.7430
191,0.9883,0.7413
192,0.9870,0.7361
193,0.9859,0.7428
194,0.9847,0.7390
195,0.9835,0.7362
196,0.9823,0.7360
197,0.9812,0.7339
198,0.9800,0.7365
199,0.9789,0.7360
200,0.9777,0.7347
201,0.9766,0.7344
202,0.9755,0.7357
203,0.9744,0.7348
204,0.9733,0.7305
205,0.9722,0.7332
206,0.9711,0.7328
207,0.9700,0.7275
208,0.9690,0.7296
209,0.9679,0.7309
210,0.9669,0.7327
211,0.9658,0.7289
212,0.9648,0.7262
213,0.9638,0.7255
214,0.9627,0.7262
215,0.9617,0.7285
216,0.9607,0.7307
217,0.9597,0.7232
218,0.9587,0.7254
219,0.9577,0.7262
220,0.9567,0.7234
221,0.9558,0.7198
222,0.9548,0.7253
223,0.9539,0.7257
224,0.9529,0.7226
225,0.9520,0.7235
226,0.9510,0.7211
227,0.9501,0.7241
228,0.9492,0.7209
229,0.9482,0.7200
230,0.9473,0.7191
231,0.9464,0.7189
232,0.9455,0.7185
233,0.9446,0.7187
234,0.9437,0.7137
235,0.9428,0.7199
236,0.9419,0.7219
237,0.9411,0.7178
238,0.9402,0.7189
239,0.9394,0.7150
240,0.9385,0.7164
241,0.9377,0.7133
242,0.9368,0.7171
243,0.9360,0.7157
244,0.9352,0.7182
245,0.9343,0.7148
246,0.9335,0.7139
247,0.9327,0.7138
248,0.9319,0.7102
249,0.9311,0.7174
250,0.9303,0.7082
251,0.9295,0.7110
252,0.9287,0.7094
253,0.9279,0.7082
254,0.9271,0.7103
255,0.9263,0.7116
256,0.9255,0.7085
257,0.9248,0.7095
258,0.9240,0.7119
259,0.9233,0.7107
260,0.9225,0.7085
261,0.9218,0.7114
262,0.9210,0.7065
263,0.9203,0.7074
264,0.9195,0.7068
265,0.9188,0.7071
266,0.9181,0.7038
267,0.9173,0.7037
268,0.9166,0.7026
269,0.9159,0.7023
270,0.9152,0.7067
271,0.9145,0.7002
272,0.9137,0.7028
273,0.9130,0.7043
274,0.9123,0.7016
275,0.9116,0.7034
276,0.9109,0.7002
277,0.9103,0.7013
278,0.9096,0.7001
279,0.9089,0.7018
280,0.9082,0.7020
281,0.9075,0.7006
282,0.9069,0.7020
283,0.9062,0.6970
284,0.9056,0.7030
285,0.9049,0.7012
286,0.9042,0.6974
287,0.9036,0.7015
288,0.9030,0.6999
289,0.9023,0.6961
290,0.9017,0.6971
291,0.9010,0.6946
292,0.9004,0.6958
293,0.8998,0.6977
294,0.8991,0.6944
295,0.8985,0.6939
296,0.8979,0.6943
297,0.8973,0.6990
298,0.8967,0.6967
299,0.8961,0.6956
