iter,loss,rmse
1,0.8040,2.7010
2,1.0701,2.6983
3,1.2017,2.6875
4,1.2795,2.6797
5,1.3301,2.6781
6,1.3655,2.6637
7,1.3909,2.6548
8,1.4095,2.6424
9,1.4240,2.6226
10,1.4341,2.6092
11,1.4420,2.5904
12,1.4474,2.5720
13,1.4507,2.5546
14,1.4528,2.5307
15,1.4535,2.5061
16,1.4529,2.4781
17,1.4512,2.4465
18,1.4490,2.4114
19,1.4461,2.3744
20,1.4431,2.3471
21,1.4391,2.3047
22,1.4353,2.2630
23,1.4323,2.2219
24,1.4289,2.1799
25,1.4255,2.1412
26,1.4222,2.1018
27,1.4188,2.0682
28,1.4159,2.0373
29,1.4127,2.0075
30,1.4091,1.9786
31,1.4054,1.9541
32,1.4020,1.9315
33,1.3979,1.9101
34,1.3947,1.8922
35,1.3906,1.8750
36,1.3864,1.8602
37,1.3828,1.8465
38,1.3790,1.8319
39,1.3754,1.8182
40,1.3718,1.8092
41,1.3683,1.7956
42,1.3638,1.7807
43,1.3600,1.7676
44,1.3566,1.7535
45,1.3534,1.7403
46,1.3501,1.7278
47,1.3464,1.7147
48,1.3426,1.7017
49,1.3391,1.6894
50,1.3361,1.6776
51,1.3328,1.6663
52,1.3297,1.6559
53,1.3263,1.6459
54,1.3231,1.6364
55,1.3198,1.6271
56,1.3166,1.6183
57,1.3136,1.6097
58,1.3102,1.6014
59,1.3076,1.5937
60,1.3049,1.5895
61,1.3017,1.5824
62,1.2987,1.5756
63,1.2959,1.5696
64,1.2928,1.5625
65,1.2896,1.5559
66,1.2868,1.5487
67,1.2843,1.5430
68,1.2812,1.5357
69,1.2785,1.5296
70,1.2760,1.5229
71,1.2729,1.5158
72,1.2705,1.5095
73,1.2681,1.5034
74,1.2657,1.4974
75,1.2634,1.4919
76,1.2607,1.4863
77,1.2581,1.4808
78,1.2557,1.4756
79,1.2537,1.4716
80,1.2515,1.4691
81,1.2491,1.4645
82,1.2467,1.4596
83,1.2441,1.4546
84,1.2420,1.4493
85,1.2401,1.4443
86,1.2382,1.4394
87,1.2360,1.4346
88,1.2338,1.4297
89,1.2319,1.4255
90,1.2296,1.4209
91,1.2277,1.4167
92,1.2255,1.4127
93,1.2238,1.4091
94,1.2220,1.4057
95,1.2202,1.4018
96,1.2185,1.3984
97,1.2170,1.3949
98,1.2150,1.3910
99,1.2133,1.3877
100,1.2116,1.3853
101,1.2097,1.3815
102,1.2079,1.3778
103,1.2061,1.3743
104,1.2044,1.3712
105,1.2026,1.3678
106,1.2009,1.3644
107,1.1991,1.3608
108,1.1974,1.3571
109,1.1956,1.3542
110,1.1938,1.3510
111,1.1920,1.3479
112,1.1904,1.3450
113,1.1889,1.3420
114,1.1874,1.3394
115,1.1856,1.3364
116,1.1842,1.3340
117,1.1826,1.3308
118,1.1810,1.3277
119,1.1796,1.3248
120,1.1783,1.3229
121,1.1768,1.3203
122,1.1751,1.3176
123,1.1735,1.3146
124,1.1719,1.3118
125,1.1701,1.3090
126,1.1686,1.3062
127,1.1669,1.3034
128,1.1655,1.3006
129,1.1638,1.2975
130,1.1625,1.2950
131,1.1610,1.2924
132,1.1594,1.2896
133,1.1580,1.2874
134,1.1564,1.2845
135,1.1547,1.2815
136,1.1531,1.2790
137,1.1515,1.2761
138,1.1502,1.2736
139,1.1485,1.2706
140,1.1470,1.2688
141,1.1455,1.2661
142,1.1437,1.2632
143,1.1421,1.2602
144,1.1405,1.2573
145,1.1390,1.2547
146,1.1374,1.2518
147,1.1358,1.2491
148,1.1342,1.2462
149,1.1326,1.2432
150,1.1312,1.2404
151,1.1297,1.2380
152,1.1284,1.2354
153,1.1269,1.2328
154,1.1255,1.2303
155,1.1241,1.2276
156,1.1227,1.2248
157,1.1212,1.2222
158,1.1198,1.2198
159,1.1185,1.2171
160,1.1172,1.2156
161,1.1156,1.2131
162,1.1141,1.2104
163,1.1127,1.2077
164,1.1111,1.2048
165,1.1096,1.2021
166,1.1081,1.1994
167,1.1067,1.1969
168,1.1054,1.1946
169,1.1040,1.1920
170,1.1025,1.1893
171,1.1014,1.1870
172,1.1000,1.1844
173,1.0988,1.1821
174,1.0975,1.1796
175,1.0962,1.1770
176,1.0950,1.1747
177,1.0936,1.1720
