iter,loss,rmse
1,0.8046,2.7160
2,1.0693,2.6786
3,1.1975,2.5866
4,1.2715,2.3491
5,1.3167,2.2742
6,1.3458,2.2822
7,1.3655,2.2055
8,1.3799,2.0943
9,1.3903,2.1926
10,1.3977,2.2245
11,1.4030,2.1732
12,1.4065,2.1465
13,1.4087,2.0738
14,1.4089,2.0050
15,1.4083,1.8745
16,1.4066,1.6903
17,1.4041,1.5520
18,1.4009,1.4900
19,1.3967,1.4204
20,1.3917,1.3848
21,1.3861,1.3428
22,1.3791,1.2434
23,1.3714,1.1463
24,1.3629,1.0776
25,1.3539,1.0112
26,1.3446,0.9810
27,1.3351,0.9807
28,1.3261,1.0009
29,1.3173,0.9819
30,1.3082,0.9368
31,1.2998,0.9348
32,1.2912,0.9194
33,1.2831,0.9338
34,1.2752,0.9095
35,1.2676,0.9028
36,1.2605,0.9057
37,1.2535,0.8879
38,1.2467,0.8724
39,1.2403,0.8773
40,1.2339,0.8706
41,1.2278,0.8622
42,1.2221,0.8726
43,1.2165,0.8622
44,1.2111,0.8650
45,1.2059,0.8532
46,1.2008,0.8456
47,1.1959,0.8451
48,1.1912,0.8400
49,1.1866,0.8407
50,1.1822,0.8488
51,1.1780,0.8404
52,1.1738,0.8250
53,1.1698,0.8341
54,1.1657,0.8183
55,1.1619,0.8319
56,1.1582,0.8285
57,1.1546,0.8283
58,1.1512,0.8287
59,1.1477,0.8246
60,1.1445,0.8294
61,1.1412,0.8237
62,1.1381,0.8207
63,1.1350,0.8210
64,1.1319,0.8145
65,1.1290,0.8116
66,1.1261,0.8075
67,1.1234,0.8143
68,1.1206,0.8096
69,1.1180,0.8184
70,1.1153,0.8122
71,1.1128,0.8062
72,1.1102,0.8063
73,1.1078,0.8087
74,1.1054,0.8015
75,1.1030,0.7942
76,1.1006,0.8023
77,1.0984,0.8079
78,1.0962,0.8057
79,1.0941,0.7905
80,1.0920,0.8015
81,1.0900,0.7998
82,1.0880,0.8142
83,1.0859,0.7930
84,1.0840,0.8047
85,1.0821,0.7984
86,1.0802,0.7953
87,1.0783,0.7937
88,1.0765,0.8032
89,1.0747,0.7975
90,1.0729,0.7951
91,1.0712,0.7950
92,1.0695,0.7937
93,1.0678,0.7914
94,1.0662,0.7945
95,1.0645,0.7915
96,1.0629,0.7921
97,1.0613,0.7744
98,1.0598,0.7954
99,1.0582,0.7807
100,1.0567,0.7901
101,1.0552,0.7873
102,1.0538,0.7874
103,1.0524,0.7967
104,1.0509,0.7769
105,1.0496,0.7909
106,1.0482,0.7867
107,1.0469,0.7886
108,1.0455,0.7823
109,1.0442,0.7790
110,1.0429,0.7813
111,1.0416,0.7847
112,1.0404,0.7834
113,1.0391,0.7869
114,1.0379,0.7886
115,1.0366,0.7685
116,1.0355,0.7855
117,1.0343,0.7734
118,1.0332,0.7782
119,1.0319,0.7688
120,1.0308,0.7886
121,1.0297,0.7634
122,1.0287,0.7931
123,1.0276,0.7781
124,1.0265,0.7816
125,1.0255,0.7836
126,1.0244,0.7752
127,1.0234,0.7711
128,1.0224,0.7726
129,1.0214,0.7858
130,1.0204,0.7767
131,1.0195,0.7780
132,1.0185,0.7855
133,1.0176,0.7814
134,1.0167,0.7833
135,1.0158,0.7839
136,1.0150,0.7884
137,1.0140,0.7638
138,1.0131,0.7732
139,1.0122,0.7654
140,1.0113,0.7717
141,1.0104,0.7722
142,1.0096,0.7635
143,1.0086,0.7651
144,1.0077,0.7679
145,1.0069,0.7669
146,1.0061,0.7646
147,1.0052,0.7660
148,1.0045,0.7756
149,1.0037,0.7598
150,1.0029,0.7599
151,1.0021,0.7664
152,1.0013,0.7678
153,1.0005,0.7715
154,0.9997,0.7672
155,0.9990,0.7706
156,0.9982,0.7619
157,0.9975,0.7638
158,0.9967,0.7604
159,0.9960,0.7664
160,0.9953,0.7791
161,0.9946,0.7538
162,0.9938,0.7660
163,0.9931,0.7623
164,0.9924,0.7613
165,0.9917,0.7658
166,0.9910,0.7636
167,0.9904,0.7666
168,0.9897,0.7632
169,0.9890,0.7596
170,0.9884,0.7572
171,0.9877,0.7615
172,0.9871,0.7775
173,0.9865,0.7611
174,0.9858,0.7705
175,0.9852,0.7650
176,0.9846,0.7527
177,0.9840,0.7651
178,0.9834,0.7599
179,0.9828,0.7620
180,0.9822,0.7618
181,0.9816,0.7632
182,0.9810,0.7465
183,0.9804,0.7582
184,0.9798,0.7536
185,0.9792,0.7576
186,0.9787,0.7601
187,0.9781,0.7594
188,0.9775,0.7531
189,0.9770,0.7585
190,0.9764,0.7464
191,0.9758,0.7522
192,0.9753,0.7480
193,0.9747,0.7491
194,0.9742,0.7607
195,0.9736,0.7536
196,0.9731,0.7593
197,0.9726,0.7555
198,0.9721,0.7510
199,0.9715,0.7506
200,0.9711,0.7661
201,0.9705,0.7517
202,0.9700,0.7610
203,0.9695,0.7396
204,0.9691,0.7591
205,0.9686,0.7520
206,0.9681,0.7443
207,0.9676,0.7575
208,0.9671,0.7558
209,0.9666,0.7548
210,0.9661,0.7529
211,0.9657,0.7531
212,0.9652,0.7478
213,0.9647,0.7583
214,0.9643,0.7581
215,0.9638,0.7564
216,0.9634,0.7549
217,0.9629,0.7437
218,0.9625,0.7610
219,0.9620,0.7539
220,0.9616,0.7598
221,0.9612,0.7502
222,0.9607,0.7460
223,0.9603,0.7441
224,0.9599,0.7521
225,0.9595,0.7544
226,0.9591,0.7576
227,0.9587,0.7650
228,0.9583,0.7611
229,0.9579,0.7592
230,0.9575,0.7392
231,0.9571,0.7466
232,0.9567,0.7608
233,0.9563,0.7455
234,0.9559,0.7549
235,0.9554,0.7340
236,0.9550,0.7469
237,0.9546,0.7488
238,0.9542,0.7524
239,0.9539,0.7606
240,0.9535,0.7561
241,0.9532,0.7540
242,0.9528,0.7424
243,0.9524,0.7584
244,0.9521,0.7468
245,0.9517,0.7503
246,0.9514,0.7484
247,0.9510,0.7427
248,0.9507,0.7510
249,0.9503,0.7349
250,0.9499,0.7540
251,0.9496,0.7479
252,0.9492,0.7548
253,0.9489,0.7590
254,0.9485,0.7375
255,0.9481,0.7455
256,0.9478,0.7425
257,0.9474,0.7438
258,0.9471,0.7407
259,0.9467,0.7358
260,0.9464,0.7468
261,0.9461,0.7523
262,0.9458,0.7562
263,0.9455,0.7511
264,0.9451,0.7480
265,0.9448,0.7471
266,0.9445,0.7539
267,0.9442,0.7475
268,0.9439,0.7518
269,0.9436,0.7526
270,0.9433,0.7343
271,0.9429,0.7425
272,0.9427,0.7547
273,0.9424,0.7442
274,0.9420,0.7426
275,0.9418,0.7480
276,0.9415,0.7557
277,0.9412,0.7416
278,0.9409,0.7546
279,0.9406,0.7511
280,0.9403,0.7494
281,0.9400,0.7375
282,0.9397,0.7517
283,0.9395,0.7448
284,0.9392,0.7510
285,0.9389,0.7501
286,0.9386,0.7322
287,0.9383,0.7352
288,0.9380,0.7369
289,0.9378,0.7409
290,0.9375,0.7407
291,0.9372,0.7365
292,0.9369,0.7423
293,0.9367,0.7391
294,0.9364,0.7527
295,0.9361,0.7437
296,0.9359,0.7469
297,0.9356,0.7197
298,0.9353,0.7364
299,0.9350,0.7384
