iter,loss,rmse
1,0.8061,1.5445
2,1.0604,1.2488
3,1.2053,1.6102
4,1.2659,1.0971
5,1.3101,1.0491
6,1.3380,1.0916
7,1.3585,1.1344
8,1.3720,1.0702
9,1.3832,1.0188
10,1.3893,1.0371
11,1.3947,1.0747
12,1.3984,1.0359
13,1.4007,0.9994
14,1.4014,0.9937
15,1.4020,1.0248
16,1.4018,1.0032
17,1.4010,0.9983
18,1.4005,0.9893
19,1.3995,0.9945
20,1.3991,1.0255
21,1.3974,0.9913
22,1.3960,0.9862
23,1.3942,0.9809
24,1.3935,1.0103
25,1.3917,0.9749
26,1.3901,0.9851
27,1.3884,0.9741
28,1.3866,0.9760
29,1.3849,0.9698
30,1.3829,0.9512
31,1.3815,0.9612
32,1.3797,0.9621
33,1.3781,0.9588
34,1.3765,0.9701
35,1.3753,0.9767
36,1.3738,0.9710
37,1.3722,0.9583
38,1.3706,0.9512
39,1.3691,0.9475
40,1.3679,0.9542
41,1.3663,0.9456
42,1.3651,0.9521
43,1.3637,0.9560
44,1.3624,0.9538
45,1.3614,0.9597
46,1.3602,0.9528
47,1.3591,0.9487
48,1.3582,0.9631
49,1.3577,0.9955
50,1.3568,0.9578
51,1.3562,0.9783
52,1.3553,0.9610
53,1.3543,0.9452
54,1.3536,0.9604
55,1.3528,0.9530
56,1.3519,0.9344
57,1.3510,0.9498
58,1.3504,0.9670
59,1.3497,0.9407
60,1.3490,0.9632
61,1.3483,0.9561
62,1.3476,0.9437
63,1.3469,0.9502
64,1.3461,0.9347
65,1.3456,0.9614
66,1.3448,0.9369
67,1.3442,0.9375
68,1.3436,0.9372
69,1.3430,0.9369
70,1.3423,0.9389
71,1.3418,0.9528
72,1.3413,0.9415
73,1.3407,0.9391
74,1.3401,0.9287
75,1.3396,0.9414
76,1.3392,0.9655
77,1.3387,0.9452
78,1.3383,0.9467
79,1.3380,0.9773
80,1.3376,0.9497
81,1.3370,0.9355
82,1.3367,0.9630
83,1.3362,0.9384
84,1.3357,0.9369
85,1.3352,0.9427
86,1.3348,0.9373
87,1.3345,0.9363
88,1.3340,0.9489
89,1.3337,0.9466
90,1.3336,0.9741
91,1.3332,0.9457
92,1.3328,0.9450
93,1.3324,0.9382
94,1.3322,0.9540
95,1.3319,0.9277
96,1.3315,0.9411
97,1.3312,0.9425
98,1.3308,0.9343
99,1.3304,0.9262
100,1.3300,0.9379
