iter,loss,rmse
1,1.1528,1.7062
2,1.5370,1.6998
3,1.7277,1.6932
4,1.8413,1.6862
5,1.9168,1.6788
6,1.9706,1.6707
7,2.0107,1.6617
8,2.0416,1.6516
9,2.0661,1.6399
10,2.0858,1.6267
11,2.1019,1.6114
12,2.1153,1.5941
13,2.1265,1.5745
14,2.1358,1.5519
15,2.1435,1.5274
16,2.1500,1.5010
17,2.1553,1.4725
18,2.1597,1.4416
19,2.1632,1.4120
20,2.1660,1.3811
21,2.1681,1.3512
22,2.1696,1.3215
23,2.1705,1.2918
24,2.1709,1.2617
25,2.1709,1.2345
26,2.1705,1.2104
27,2.1699,1.1890
28,2.1690,1.1681
29,2.1678,1.1553
30,2.1666,1.1434
31,2.1652,1.1358
32,2.1636,1.1312
33,2.1620,1.1316
34,2.1603,1.1349
35,2.1585,1.1395
36,2.1567,1.1469
37,2.1549,1.1541
38,2.1531,1.1626
39,2.1512,1.1641
40,2.1494,1.1604
41,2.1475,1.1525
42,2.1455,1.1414
43,2.1435,1.1255
44,2.1415,1.1111
45,2.1394,1.1017
46,2.1373,1.0935
47,2.1352,1.0897
48,2.1330,1.0882
49,2.1308,1.0870
50,2.1286,1.0902
51,2.1264,1.0911
52,2.1242,1.0936
53,2.1220,1.0913
54,2.1197,1.0872
55,2.1175,1.0828
56,2.1153,1.0770
57,2.1130,1.0655
58,2.1108,1.0601
59,2.1085,1.0523
60,2.1063,1.0464
61,2.1041,1.0390
62,2.1018,1.0374
63,2.0996,1.0327
64,2.0974,1.0304
65,2.0952,1.0288
66,2.0931,1.0243
67,2.0909,1.0212
68,2.0887,1.0147
69,2.0866,1.0095
70,2.0844,1.0080
71,2.0823,1.0049
72,2.0802,1.0023
73,2.0781,1.0014
74,2.0760,1.0012
75,2.0739,0.9982
76,2.0718,0.9973
77,2.0697,0.9942
78,2.0677,0.9903
79,2.0656,0.9890
80,2.0636,0.9850
81,2.0616,0.9837
82,2.0596,0.9815
83,2.0576,0.9786
84,2.0556,0.9757
85,2.0536,0.9733
86,2.0516,0.9703
87,2.0497,0.9671
88,2.0477,0.9654
89,2.0458,0.9653
90,2.0439,0.9615
91,2.0420,0.9609
92,2.0401,0.9584
93,2.0382,0.9569
94,2.0363,0.9531
95,2.0345,0.9507
96,2.0326,0.9487
97,2.0308,0.9483
98,2.0289,0.9444
99,2.0271,0.9453
100,2.0253,0.9429
101,2.0235,0.9404
102,2.0217,0.9375
103,2.0199,0.9356
104,2.0182,0.9335
105,2.0164,0.9331
106,2.0147,0.9311
107,2.0129,0.9293
108,2.0112,0.9272
109,2.0095,0.9251
110,2.0078,0.9209
111,2.0061,0.9196
112,2.0044,0.9177
113,2.0027,0.9180
114,2.0010,0.9163
115,1.9994,0.9133
116,1.9977,0.9104
117,1.9961,0.9090
118,1.9945,0.9068
119,1.9929,0.9070
120,1.9913,0.9053
121,1.9897,0.9044
122,1.9881,0.9038
123,1.9865,0.9027
124,1.9850,0.8990
125,1.9834,0.8958
126,1.9819,0.8943
127,1.9803,0.8953
128,1.9788,0.8937
129,1.9773,0.8917
130,1.9758,0.8897
131,1.9743,0.8892
132,1.9728,0.8881
133,1.9713,0.8859
134,1.9699,0.8822
135,1.9684,0.8804
136,1.9670,0.8801
137,1.9655,0.8794
138,1.9641,0.8767
139,1.9627,0.8763
140,1.9613,0.8776
141,1.9598,0.8743
142,1.9585,0.8732
143,1.9571,0.8718
144,1.9557,0.8699
145,1.9543,0.8674
146,1.9530,0.8689
147,1.9516,0.8669
148,1.9503,0.8650
149,1.9489,0.8631
150,1.9476,0.8625
151,1.9463,0.8607
152,1.9449,0.8584
153,1.9436,0.8577
154,1.9423,0.8576
155,1.9411,0.8544
156,1.9398,0.8555
157,1.9385,0.8526
158,1.9372,0.8485
159,1.9360,0.8502
160,1.9347,0.8481
161,1.9334,0.8490
162,1.9322,0.8463
163,1.9310,0.8439
164,1.9297,0.8451
165,1.9285,0.8425
166,1.9273,0.8409
167,1.9261,0.8389
168,1.9249,0.8375
169,1.9237,0.8362
170,1.9225,0.8352
171,1.9213,0.8338
172,1.9201,0.8340
173,1.9189,0.8319
174,1.9178,0.8297
175,1.9166,0.8282
176,1.9154,0.8270
177,1.9143,0.8269
178,1.9131,0.8258
179,1.9120,0.8240
180,1.9109,0.8241
181,1.9097,0.8235
182,1.9086,0.8212
183,1.9075,0.8193
184,1.9064,0.8203
185,1.9053,0.8178
186,1.9042,0.8146
187,1.9031,0.8153
188,1.9020,0.8140
189,1.9009,0.8142
190,1.8998,0.8117
191,1.8987,0.8116
192,1.8977,0.8105
193,1.8966,0.8101
194,1.8955,0.8074
195,1.8945,0.8087
196,1.8934,0.8066
197,1.8924,0.8039
198,1.8913,0.8037
199,1.8903,0.8033
200,1.8893,0.8034
201,1.8882,0.8005
202,1.8872,0.8008
203,1.8862,0.7975
204,1.8852,0.7976
205,1.8842,0.7972
206,1.8832,0.7969
207,1.8822,0.7956
208,1.8812,0.7944
209,1.8802,0.7959
210,1.8792,0.7934
211,1.8782,0.7935
212,1.8772,0.7933
213,1.8763,0.7908
214,1.8753,0.7903
215,1.8743,0.7908
216,1.8734,0.7892
217,1.8724,0.7871
218,1.8715,0.7862
219,1.8705,0.7857
220,1.8696,0.7873
221,1.8687,0.7868
222,1.8677,0.7871
223,1.8668,0.7843
224,1.8659,0.7826
225,1.8650,0.7834
226,1.8641,0.7825
227,1.8632,0.7820
228,1.8623,0.7834
229,1.8614,0.7832
230,1.8605,0.7815
231,1.8596,0.7798
232,1.8588,0.7782
233,1.8579,0.7780
234,1.8570,0.7788
235,1.8562,0.7770
236,1.8553,0.7788
237,1.8544,0.7740
238,1.8536,0.7765
239,1.8527,0.7758
240,1.8519,0.7794
241,1.8511,0.7751
242,1.8502,0.7756
243,1.8494,0.7739
244,1.8486,0.7711
245,1.8478,0.7741
246,1.8470,0.7769
247,1.8462,0.7760
248,1.8454,0.7725
249,1.8446,0.7690
250,1.8438,0.7700
251,1.8430,0.7695
252,1.8422,0.7717
253,1.8414,0.7753
254,1.8406,0.7760
255,1.8399,0.7705
256,1.8391,0.7664
257,1.8383,0.7668
258,1.8376,0.7686
259,1.8368,0.7680
260,1.8361,0.7676
261,1.8353,0.7695
262,1.8346,0.7697
263,1.8338,0.7671
264,1.8331,0.7660
265,1.8324,0.7659
266,1.8316,0.7685
267,1.8309,0.7668
268,1.8302,0.7646
269,1.8295,0.7664
270,1.8288,0.7623
271,1.8281,0.7633
272,1.8274,0.7645
273,1.8267,0.7667
274,1.8260,0.7677
275,1.8253,0.7633
276,1.8246,0.7648
277,1.8239,0.7635
278,1.8232,0.7641
279,1.8225,0.7676
280,1.8219,0.7615
281,1.8212,0.7611
282,1.8205,0.7603
283,1.8199,0.7612
284,1.8192,0.7613
285,1.8186,0.7636
286,1.8179,0.7626
287,1.8172,0.7607
288,1.8166,0.7585
289,1.8160,0.7591
290,1.8153,0.7606
291,1.8147,0.7627
292,1.8140,0.7639
293,1.8134,0.7599
294,1.8128,0.7567
295,1.8122,0.7562
296,1.8116,0.7550
297,1.8109,0.7581
298,1.8103,0.7628
299,1.8097,0.7645
