iter,loss,rmse
1,0.8046,1.5883
2,1.0677,1.4609
3,1.4144,3.2515
4,1.4535,1.5754
5,1.4758,1.4774
6,1.4904,1.4947
7,1.4980,1.4518
8,1.5039,1.3933
9,1.5084,1.3676
10,1.5080,1.3334
11,1.5086,1.3408
12,1.5073,1.2924
13,1.5069,1.2207
14,1.5054,1.2357
15,1.5039,1.2569
16,1.5024,1.2804
17,1.5005,1.2248
18,1.4984,1.2111
19,1.4963,1.1925
20,1.4940,1.1808
21,1.4917,1.1699
22,1.4893,1.1114
23,1.4868,1.1201
24,1.4843,1.1442
25,1.4819,1.1217
26,1.4795,1.0593
27,1.4769,1.0481
28,1.4744,1.0754
29,1.4719,1.0730
30,1.4694,1.0469
31,1.4668,1.0342
32,1.4643,0.9968
33,1.4618,1.0142
34,1.4595,1.0601
35,1.4571,0.9999
36,1.4547,0.9623
37,1.4523,0.9530
38,1.4500,0.9973
39,1.4476,0.9933
40,1.4452,0.9603
41,1.4429,0.9624
42,1.4405,0.9533
43,1.4381,0.9384
44,1.4358,0.9386
45,1.4335,0.9312
46,1.4312,0.9317
47,1.4290,0.9222
48,1.4268,0.9305
49,1.4246,0.9245
50,1.4225,0.9326
51,1.4203,0.9305
52,1.4183,0.9065
53,1.4163,0.9379
54,1.4143,0.9116
55,1.4122,0.9027
56,1.4103,0.9017
57,1.4084,0.9173
58,1.4065,0.8996
59,1.4046,0.9021
60,1.4027,0.8989
61,1.4009,0.9073
62,1.3991,0.8960
63,1.3974,0.8944
64,1.3957,0.8930
65,1.3940,0.9005
66,1.3924,0.8955
67,1.3908,0.9004
68,1.3892,0.8934
69,1.3877,0.8901
70,1.3862,0.8997
71,1.3847,0.8913
72,1.3835,0.9078
73,1.3821,0.8929
74,1.3808,0.9115
75,1.3795,0.8952
76,1.3782,0.8949
77,1.3769,0.8920
78,1.3758,0.8988
79,1.3746,0.9006
80,1.3733,0.8814
81,1.3722,0.8985
82,1.3710,0.8865
83,1.3698,0.8898
84,1.3686,0.8891
85,1.3675,0.8827
86,1.3664,0.8849
87,1.3652,0.8825
88,1.3642,0.8810
89,1.3631,0.8884
90,1.3621,0.8803
91,1.3611,0.8825
92,1.3601,0.8963
93,1.3591,0.8781
94,1.3582,0.8981
95,1.3573,0.8867
96,1.3563,0.8787
97,1.3554,0.8841
98,1.3545,0.8769
99,1.3536,0.8872
100,1.3528,0.8787
101,1.3519,0.8769
102,1.3510,0.8766
103,1.3502,0.8769
104,1.3493,0.8780
105,1.3485,0.8804
106,1.3477,0.8826
107,1.3469,0.8775
108,1.3461,0.8805
109,1.3454,0.8835
110,1.3446,0.8751
111,1.3439,0.8829
112,1.3432,0.8725
113,1.3424,0.8752
114,1.3417,0.8732
115,1.3410,0.8736
116,1.3403,0.8751
117,1.3396,0.8805
118,1.3390,0.8789
119,1.3383,0.8791
120,1.3377,0.8859
121,1.3370,0.8753
122,1.3365,0.8838
123,1.3358,0.8725
124,1.3352,0.8814
125,1.3347,0.8762
126,1.3341,0.8776
127,1.3335,0.8758
128,1.3329,0.8738
129,1.3324,0.8715
130,1.3318,0.8864
131,1.3313,0.8730
132,1.3307,0.8769
133,1.3303,0.8950
134,1.3298,0.8720
135,1.3293,0.8946
136,1.3288,0.8751
137,1.3283,0.8781
138,1.3278,0.8808
139,1.3274,0.8871
140,1.3269,0.8823
141,1.3264,0.8726
142,1.3260,0.8831
143,1.3255,0.8717
144,1.3251,0.8835
145,1.3247,0.8838
146,1.3242,0.8736
147,1.3238,0.8786
148,1.3233,0.8809
149,1.3229,0.8721
150,1.3225,0.8899
151,1.3221,0.8687
152,1.3217,0.8762
153,1.3213,0.8938
154,1.3210,0.8803
155,1.3206,0.8942
156,1.3202,0.8680
157,1.3198,0.8673
158,1.3195,0.8842
159,1.3191,0.8675
160,1.3187,0.8762
161,1.3183,0.8743
162,1.3180,0.8798
163,1.3176,0.8718
164,1.3173,0.8757
165,1.3169,0.8724
166,1.3166,0.8849
167,1.3163,0.8688
168,1.3159,0.8763
169,1.3156,0.8828
170,1.3153,0.8871
171,1.3149,0.8791
172,1.3146,0.8696
173,1.3143,0.8723
174,1.3140,0.8706
175,1.3136,0.8669
176,1.3133,0.8658
177,1.3130,0.8738
178,1.3127,0.8716
179,1.3123,0.8706
180,1.3120,0.8723
181,1.3117,0.8670
182,1.3114,0.8725
183,1.3112,0.8693
184,1.3108,0.8641
185,1.3105,0.8650
186,1.3102,0.8712
187,1.3100,0.8742
188,1.3097,0.8673
189,1.3094,0.8642
190,1.3091,0.8657
191,1.3088,0.8661
192,1.3085,0.8659
193,1.3082,0.8714
194,1.3079,0.8680
195,1.3076,0.8661
196,1.3074,0.8648
197,1.3071,0.8628
198,1.3068,0.8657
199,1.3065,0.8641
200,1.3063,0.8667
201,1.3060,0.8599
202,1.3057,0.8662
203,1.3054,0.8666
204,1.3052,0.8614
205,1.3049,0.8665
206,1.3047,0.8621
207,1.3044,0.8633
208,1.3042,0.8650
209,1.3039,0.8652
210,1.3036,0.8649
211,1.3034,0.8591
212,1.3031,0.8600
213,1.3029,0.8622
214,1.3027,0.8680
215,1.3024,0.8630
216,1.3022,0.8593
217,1.3019,0.8621
218,1.3017,0.8626
219,1.3015,0.8645
220,1.3012,0.8678
221,1.3010,0.8704
222,1.3008,0.8613
223,1.3006,0.8595
224,1.3003,0.8629
225,1.3001,0.8591
226,1.2999,0.8594
227,1.2997,0.8609
228,1.2995,0.8597
229,1.2992,0.8657
230,1.2990,0.8658
231,1.2988,0.8689
232,1.2986,0.8589
233,1.2984,0.8610
234,1.2982,0.8621
235,1.2980,0.8575
236,1.2978,0.8583
237,1.2976,0.8660
238,1.2974,0.8687
239,1.2972,0.8595
240,1.2970,0.8615
241,1.2968,0.8570
242,1.2966,0.8587
243,1.2965,0.8621
244,1.2963,0.8667
245,1.2962,0.8758
246,1.2960,0.8601
247,1.2958,0.8630
248,1.2956,0.8619
249,1.2955,0.8716
250,1.2953,0.8694
251,1.2952,0.8667
252,1.2950,0.8633
253,1.2948,0.8569
254,1.2947,0.8571
255,1.2945,0.8629
256,1.2944,0.8745
257,1.2942,0.8591
258,1.2941,0.8705
259,1.2939,0.8649
260,1.2938,0.8580
261,1.2936,0.8731
262,1.2935,0.8609
263,1.2933,0.8654
264,1.2932,0.8615
265,1.2930,0.8614
266,1.2929,0.8692
267,1.2927,0.8647
268,1.2926,0.8615
269,1.2924,0.8584
270,1.2923,0.8645
271,1.2921,0.8640
272,1.2920,0.8656
273,1.2918,0.8616
274,1.2917,0.8670
275,1.2915,0.8670
276,1.2914,0.8564
277,1.2912,0.8616
278,1.2911,0.8595
279,1.2909,0.8559
280,1.2908,0.8600
281,1.2906,0.8640
282,1.2905,0.8586
283,1.2903,0.8622
284,1.2902,0.8654
285,1.2901,0.8584
286,1.2899,0.8702
287,1.2898,0.8608
288,1.2897,0.8593
289,1.2895,0.8581
290,1.2894,0.8628
291,1.2892,0.8575
292,1.2891,0.8619
293,1.2889,0.8615
294,1.2888,0.8578
295,1.2887,0.8549
296,1.2885,0.8658
297,1.2884,0.8588
298,1.2883,0.8583
299,1.2881,0.8550
