iter,loss,rmse
1,0.8049,1.5857
2,1.0723,1.5785
3,1.2053,1.5711
4,1.2846,1.5632
5,1.3370,1.5545
6,1.3739,1.5450
7,1.4011,1.5341
8,1.4219,1.5219
9,1.4379,1.5078
10,1.4506,1.4918
11,1.4606,1.4735
12,1.4685,1.4526
13,1.4747,1.4287
14,1.4795,1.4020
15,1.4830,1.3728
16,1.4854,1.3387
17,1.4868,1.3063
18,1.4874,1.2711
19,1.4874,1.2385
20,1.4867,1.2075
21,1.4857,1.1866
22,1.4846,1.1728
23,1.4835,1.1643
24,1.4825,1.1613
25,1.4818,1.1626
26,1.4811,1.1595
27,1.4804,1.1540
28,1.4796,1.1469
29,1.4787,1.1367
30,1.4776,1.1262
31,1.4764,1.1168
32,1.4752,1.1082
33,1.4739,1.1028
34,1.4727,1.0990
35,1.4715,1.0954
36,1.4704,1.0894
37,1.4692,1.0861
38,1.4681,1.0805
39,1.4669,1.0727
40,1.4658,1.0676
41,1.4646,1.0582
42,1.4634,1.0506
43,1.4621,1.0438
44,1.4609,1.0388
45,1.4596,1.0320
46,1.4584,1.0263
47,1.4571,1.0209
48,1.4558,1.0149
49,1.4545,1.0097
50,1.4532,1.0043
51,1.4519,0.9992
52,1.4505,0.9930
53,1.4492,0.9885
54,1.4478,0.9819
55,1.4465,0.9766
56,1.4451,0.9732
57,1.4437,0.9697
58,1.4423,0.9676
59,1.4409,0.9649
60,1.4395,0.9636
61,1.4381,0.9600
62,1.4367,0.9584
63,1.4353,0.9556
64,1.4339,0.9546
65,1.4325,0.9523
66,1.4311,0.9500
67,1.4297,0.9482
68,1.4284,0.9467
69,1.4270,0.9461
70,1.4257,0.9449
71,1.4244,0.9438
72,1.4231,0.9420
73,1.4218,0.9400
74,1.4206,0.9395
75,1.4193,0.9379
76,1.4181,0.9363
77,1.4168,0.9350
78,1.4156,0.9322
79,1.4144,0.9306
80,1.4132,0.9276
81,1.4120,0.9267
82,1.4107,0.9243
83,1.4096,0.9230
84,1.4083,0.9203
85,1.4071,0.9178
86,1.4060,0.9153
87,1.4048,0.9115
88,1.4036,0.9086
89,1.4024,0.9060
90,1.4012,0.9015
91,1.4000,0.8994
92,1.3988,0.8982
93,1.3976,0.8938
94,1.3964,0.8916
95,1.3952,0.8895
96,1.3940,0.8858
97,1.3929,0.8848
98,1.3917,0.8816
99,1.3905,0.8794
100,1.3893,0.8773
101,1.3881,0.8750
102,1.3870,0.8732
103,1.3858,0.8721
104,1.3847,0.8701
105,1.3835,0.8681
106,1.3824,0.8663
107,1.3812,0.8645
108,1.3801,0.8639
109,1.3790,0.8620
110,1.3779,0.8596
111,1.3768,0.8585
112,1.3757,0.8572
113,1.3746,0.8562
114,1.3735,0.8545
115,1.3725,0.8541
116,1.3714,0.8521
117,1.3703,0.8516
118,1.3693,0.8497
119,1.3683,0.8504
120,1.3672,0.8479
121,1.3662,0.8481
122,1.3652,0.8460
123,1.3642,0.8449
124,1.3632,0.8450
125,1.3622,0.8431
126,1.3612,0.8422
127,1.3602,0.8398
128,1.3593,0.8399
129,1.3583,0.8389
130,1.3573,0.8374
131,1.3564,0.8362
132,1.3555,0.8360
133,1.3545,0.8355
134,1.3536,0.8348
135,1.3527,0.8353
136,1.3518,0.8350
137,1.3509,0.8328
138,1.3500,0.8323
139,1.3491,0.8316
140,1.3483,0.8311
141,1.3474,0.8314
142,1.3466,0.8302
143,1.3457,0.8284
144,1.3449,0.8289
145,1.3440,0.8302
146,1.3432,0.8274
147,1.3424,0.8287
148,1.3416,0.8257
149,1.3408,0.8252
150,1.3400,0.8257
151,1.3392,0.8258
152,1.3384,0.8241
153,1.3376,0.8230
154,1.3369,0.8231
155,1.3361,0.8229
156,1.3354,0.8221
157,1.3346,0.8205
158,1.3339,0.8213
159,1.3331,0.8214
160,1.3324,0.8207
161,1.3317,0.8196
162,1.3310,0.8177
163,1.3303,0.8202
164,1.3296,0.8181
165,1.3289,0.8171
166,1.3282,0.8183
167,1.3275,0.8167
168,1.3268,0.8162
169,1.3261,0.8156
170,1.3254,0.8165
171,1.3248,0.8156
172,1.3241,0.8132
173,1.3235,0.8137
174,1.3228,0.8122
175,1.3222,0.8136
176,1.3215,0.8127
177,1.3209,0.8117
178,1.3203,0.8126
179,1.3196,0.8115
180,1.3190,0.8101
181,1.3184,0.8098
182,1.3178,0.8097
183,1.3172,0.8091
184,1.3166,0.8078
185,1.3160,0.8096
186,1.3154,0.8076
187,1.3148,0.8072
188,1.3142,0.8070
189,1.3136,0.8054
190,1.3130,0.8053
191,1.3125,0.8065
192,1.3119,0.8054
193,1.3114,0.8069
194,1.3108,0.8048
195,1.3102,0.8037
196,1.3097,0.8047
197,1.3091,0.8026
198,1.3086,0.8029
199,1.3081,0.8022
200,1.3075,0.8030
201,1.3070,0.8025
202,1.3065,0.8028
203,1.3059,0.8006
204,1.3054,0.8005
205,1.3049,0.8010
206,1.3044,0.8008
207,1.3039,0.7998
208,1.3034,0.7984
209,1.3029,0.8006
210,1.3024,0.7986
211,1.3019,0.7983
212,1.3014,0.7979
213,1.3009,0.7973
214,1.3004,0.7982
215,1.2999,0.7963
216,1.2995,0.7970
217,1.2990,0.7974
218,1.2985,0.7960
219,1.2980,0.7954
220,1.2976,0.7959
221,1.2971,0.7952
222,1.2967,0.7959
223,1.2962,0.7957
224,1.2957,0.7952
225,1.2953,0.7955
226,1.2948,0.7946
227,1.2944,0.7946
228,1.2940,0.7931
229,1.2935,0.7942
230,1.2931,0.7929
231,1.2926,0.7931
232,1.2922,0.7925
233,1.2918,0.7921
234,1.2914,0.7923
235,1.2909,0.7927
236,1.2905,0.7923
237,1.2901,0.7917
238,1.2897,0.7914
239,1.2893,0.7909
240,1.2889,0.7911
241,1.2885,0.7917
242,1.2881,0.7911
243,1.2876,0.7906
244,1.2873,0.7935
245,1.2869,0.7900
246,1.2865,0.7896
247,1.2861,0.7925
248,1.2857,0.7911
249,1.2853,0.7901
250,1.2849,0.7899
251,1.2845,0.7895
252,1.2842,0.7903
253,1.2838,0.7880
254,1.2834,0.7884
255,1.2831,0.7905
256,1.2827,0.7893
257,1.2823,0.7879
258,1.2820,0.7886
259,1.2816,0.7877
260,1.2812,0.7907
261,1.2809,0.7877
262,1.2805,0.7883
263,1.2802,0.7881
264,1.2798,0.7885
265,1.2795,0.7879
266,1.2791,0.7869
267,1.2788,0.7881
268,1.2784,0.7887
269,1.2781,0.7895
270,1.2778,0.7875
271,1.2774,0.7870
272,1.2771,0.7875
273,1.2768,0.7873
274,1.2765,0.7871
275,1.2761,0.7856
276,1.2758,0.7860
277,1.2755,0.7864
278,1.2752,0.7861
279,1.2748,0.7864
280,1.2745,0.7867
281,1.2742,0.7858
282,1.2739,0.7863
283,1.2736,0.7857
284,1.2733,0.7855
285,1.2730,0.7855
286,1.2727,0.7860
287,1.2724,0.7845
288,1.2720,0.7848
289,1.2717,0.7853
290,1.2714,0.7854
291,1.2711,0.7843
292,1.2709,0.7862
293,1.2706,0.7842
294,1.2703,0.7842
295,1.2700,0.7849
296,1.2697,0.7849
297,1.2694,0.7841
298,1.2691,0.7837
299,1.2688,0.7838
