iter,loss,rmse
1,0.8039,1.5481
2,1.0710,1.5410
3,1.2037,1.5335
4,1.2828,1.5256
5,1.3349,1.5174
6,1.3717,1.5084
7,1.3987,1.4986
8,1.4193,1.4877
9,1.4352,1.4755
10,1.4478,1.4619
11,1.4577,1.4467
12,1.4656,1.4294
13,1.4718,1.4116
14,1.4765,1.3897
15,1.4801,1.3671
16,1.4827,1.3467
17,1.4844,1.3221
18,1.4855,1.3006
19,1.4859,1.2804
20,1.4860,1.2607
21,1.4857,1.2441
22,1.4853,1.2370
23,1.4848,1.2258
24,1.4843,1.2193
25,1.4837,1.2161
26,1.4829,1.2118
27,1.4821,1.2084
28,1.4811,1.2058
29,1.4800,1.2008
30,1.4788,1.1908
31,1.4775,1.1822
32,1.4761,1.1702
33,1.4749,1.1677
34,1.4735,1.1538
35,1.4722,1.1442
36,1.4710,1.1363
37,1.4697,1.1278
38,1.4684,1.1218
39,1.4671,1.1107
40,1.4658,1.1084
41,1.4645,1.1019
42,1.4632,1.0922
43,1.4619,1.0915
44,1.4606,1.0868
45,1.4593,1.0817
46,1.4581,1.0815
47,1.4568,1.0764
48,1.4556,1.0707
49,1.4543,1.0670
50,1.4531,1.0644
51,1.4519,1.0559
52,1.4506,1.0515
53,1.4494,1.0432
54,1.4482,1.0412
55,1.4469,1.0357
56,1.4457,1.0325
57,1.4445,1.0262
58,1.4433,1.0191
59,1.4420,1.0184
60,1.4408,1.0147
61,1.4396,1.0143
62,1.4383,1.0113
63,1.4371,1.0116
64,1.4358,1.0072
65,1.4346,1.0025
66,1.4333,0.9996
67,1.4321,0.9984
68,1.4309,0.9927
69,1.4296,0.9929
70,1.4284,0.9865
71,1.4272,0.9796
72,1.4259,0.9798
73,1.4247,0.9746
74,1.4235,0.9714
75,1.4224,0.9689
76,1.4212,0.9667
77,1.4201,0.9653
78,1.4190,0.9646
79,1.4179,0.9616
80,1.4168,0.9601
81,1.4157,0.9602
82,1.4146,0.9621
83,1.4135,0.9621
84,1.4125,0.9627
85,1.4114,0.9613
86,1.4104,0.9599
87,1.4094,0.9578
88,1.4084,0.9583
89,1.4074,0.9566
90,1.4064,0.9552
91,1.4054,0.9553
92,1.4044,0.9593
93,1.4035,0.9572
94,1.4025,0.9540
95,1.4016,0.9516
96,1.4006,0.9500
97,1.3997,0.9458
98,1.3988,0.9471
99,1.3979,0.9451
100,1.3971,0.9481
101,1.3962,0.9467
102,1.3953,0.9437
103,1.3945,0.9460
104,1.3936,0.9410
105,1.3928,0.9385
106,1.3919,0.9360
107,1.3911,0.9367
108,1.3903,0.9374
109,1.3895,0.9341
110,1.3887,0.9337
111,1.3879,0.9305
112,1.3871,0.9345
113,1.3863,0.9270
114,1.3856,0.9305
115,1.3848,0.9229
116,1.3841,0.9270
117,1.3833,0.9211
118,1.3826,0.9220
119,1.3818,0.9216
120,1.3811,0.9270
121,1.3804,0.9249
122,1.3797,0.9239
123,1.3790,0.9216
124,1.3782,0.9172
125,1.3775,0.9171
126,1.3769,0.9178
127,1.3762,0.9135
128,1.3755,0.9111
129,1.3748,0.9092
130,1.3741,0.9061
131,1.3735,0.9058
132,1.3728,0.9050
133,1.3722,0.9147
134,1.3715,0.9055
135,1.3708,0.9052
136,1.3702,0.9018
137,1.3696,0.9047
138,1.3689,0.8989
139,1.3683,0.9013
140,1.3677,0.8943
141,1.3670,0.8967
142,1.3664,0.8978
143,1.3658,0.8878
144,1.3652,0.8890
145,1.3646,0.8858
146,1.3640,0.8861
147,1.3634,0.8854
148,1.3628,0.8867
149,1.3622,0.8831
150,1.3616,0.8826
151,1.3610,0.8876
152,1.3605,0.8852
153,1.3599,0.8858
154,1.3593,0.8837
155,1.3587,0.8799
156,1.3582,0.8773
157,1.3576,0.8755
158,1.3571,0.8719
159,1.3565,0.8719
160,1.3560,0.8746
161,1.3554,0.8732
162,1.3549,0.8707
163,1.3543,0.8715
164,1.3538,0.8734
165,1.3533,0.8723
166,1.3528,0.8742
167,1.3522,0.8726
168,1.3517,0.8707
169,1.3512,0.8739
170,1.3507,0.8676
171,1.3501,0.8665
172,1.3496,0.8600
173,1.3491,0.8607
174,1.3486,0.8630
175,1.3481,0.8606
176,1.3476,0.8610
177,1.3471,0.8716
178,1.3466,0.8628
179,1.3461,0.8650
180,1.3456,0.8619
181,1.3451,0.8575
182,1.3446,0.8543
183,1.3441,0.8557
184,1.3437,0.8604
185,1.3432,0.8523
186,1.3427,0.8530
187,1.3422,0.8585
188,1.3418,0.8616
189,1.3413,0.8531
190,1.3408,0.8532
191,1.3404,0.8502
192,1.3399,0.8551
193,1.3394,0.8464
194,1.3390,0.8545
195,1.3385,0.8496
196,1.3380,0.8598
197,1.3376,0.8531
198,1.3371,0.8536
199,1.3367,0.8488
200,1.3362,0.8455
201,1.3358,0.8443
202,1.3353,0.8409
203,1.3349,0.8423
204,1.3344,0.8421
205,1.3340,0.8471
206,1.3336,0.8539
207,1.3331,0.8522
208,1.3327,0.8481
209,1.3322,0.8435
210,1.3318,0.8381
211,1.3314,0.8396
212,1.3309,0.8451
213,1.3305,0.8388
214,1.3301,0.8387
215,1.3297,0.8373
216,1.3292,0.8418
217,1.3288,0.8368
218,1.3284,0.8426
219,1.3280,0.8414
220,1.3275,0.8374
221,1.3271,0.8348
222,1.3267,0.8397
223,1.3263,0.8355
224,1.3259,0.8344
225,1.3255,0.8339
226,1.3251,0.8383
227,1.3247,0.8355
228,1.3242,0.8334
229,1.3238,0.8387
230,1.3234,0.8326
231,1.3230,0.8346
232,1.3226,0.8331
233,1.3222,0.8392
234,1.3218,0.8366
235,1.3214,0.8283
236,1.3210,0.8353
237,1.3207,0.8309
238,1.3203,0.8332
239,1.3199,0.8296
240,1.3195,0.8270
241,1.3191,0.8271
242,1.3187,0.8332
243,1.3183,0.8278
244,1.3179,0.8253
245,1.3175,0.8295
246,1.3172,0.8296
247,1.3168,0.8240
248,1.3164,0.8258
249,1.3160,0.8248
250,1.3156,0.8278
251,1.3152,0.8261
252,1.3149,0.8210
253,1.3145,0.8260
254,1.3141,0.8190
255,1.3137,0.8233
256,1.3134,0.8248
257,1.3130,0.8259
258,1.3126,0.8245
259,1.3122,0.8297
260,1.3119,0.8252
261,1.3115,0.8265
262,1.3111,0.8185
263,1.3108,0.8193
264,1.3104,0.8187
265,1.3100,0.8185
266,1.3097,0.8214
267,1.3093,0.8177
268,1.3089,0.8155
269,1.3086,0.8178
270,1.3082,0.8201
271,1.3079,0.8253
272,1.3075,0.8173
273,1.3071,0.8237
274,1.3068,0.8192
275,1.3064,0.8201
276,1.3061,0.8192
277,1.3057,0.8136
278,1.3054,0.8152
279,1.3050,0.8171
280,1.3047,0.8171
281,1.3043,0.8148
282,1.3040,0.8146
283,1.3036,0.8164
284,1.3033,0.8124
285,1.3029,0.8161
286,1.3026,0.8096
287,1.3022,0.8109
288,1.3019,0.8129
289,1.3015,0.8167
290,1.3012,0.8177
291,1.3008,0.8135
292,1.3005,0.8122
293,1.3002,0.8132
294,1.2998,0.8120
295,1.2995,0.8137
296,1.2991,0.8094
297,1.2988,0.8101
298,1.2985,0.8112
299,1.2981,0.8187
