iter,loss,rmse
1,1.1474,1.7017
2,1.5298,1.7005
3,1.7210,1.6992
4,1.8355,1.6977
5,1.9116,1.6962
6,1.9657,1.6946
7,2.0061,1.6930
8,2.0373,1.6912
9,2.0620,1.6893
10,2.0821,1.6877
11,2.0987,1.6850
12,2.1126,1.6828
13,2.1243,1.6805
14,2.1343,1.6783
15,2.1429,1.6755
16,2.1504,1.6727
17,2.1568,1.6701
18,2.1625,1.6665
19,2.1675,1.6630
20,2.1718,1.6590
21,2.1756,1.6562
22,2.1790,1.6511
23,2.1820,1.6468
24,2.1846,1.6429
25,2.1868,1.6374
26,2.1888,1.6320
27,2.1905,1.6281
28,2.1920,1.6219
29,2.1933,1.6146
30,2.1944,1.6081
31,2.1953,1.6027
32,2.1961,1.5959
33,2.1967,1.5894
34,2.1972,1.5836
35,2.1976,1.5756
36,2.1978,1.5719
37,2.1980,1.5648
38,2.1981,1.5565
39,2.1981,1.5489
40,2.1980,1.5420
41,2.1978,1.5365
42,2.1976,1.5325
43,2.1973,1.5290
44,2.1970,1.5220
45,2.1965,1.5190
46,2.1961,1.5123
47,2.1955,1.5121
48,2.1949,1.5057
49,2.1943,1.5024
50,2.1936,1.5001
51,2.1928,1.4976
52,2.1921,1.4921
53,2.1912,1.4939
54,2.1904,1.4887
55,2.1894,1.4874
56,2.1885,1.4820
57,2.1875,1.4815
58,2.1865,1.4772
59,2.1854,1.4737
60,2.1843,1.4707
61,2.1832,1.4672
62,2.1820,1.4649
63,2.1808,1.4617
64,2.1795,1.4545
65,2.1783,1.4497
66,2.1770,1.4435
67,2.1756,1.4425
68,2.1743,1.4348
69,2.1729,1.4345
70,2.1715,1.4255
71,2.1701,1.4219
72,2.1686,1.4203
73,2.1671,1.4136
74,2.1656,1.4131
75,2.1641,1.4079
76,2.1626,1.4060
77,2.1610,1.4008
78,2.1594,1.4008
79,2.1578,1.3971
80,2.1562,1.3925
81,2.1546,1.3955
82,2.1530,1.3852
83,2.1514,1.3818
84,2.1497,1.3787
85,2.1480,1.3793
86,2.1464,1.3773
87,2.1447,1.3693
88,2.1430,1.3626
89,2.1413,1.3623
90,2.1396,1.3590
91,2.1378,1.3511
92,2.1361,1.3496
93,2.1344,1.3484
94,2.1326,1.3426
95,2.1309,1.3390
96,2.1291,1.3325
97,2.1274,1.3284
98,2.1256,1.3283
99,2.1238,1.3211
100,2.1221,1.3153
101,2.1203,1.3114
102,2.1185,1.3085
103,2.1168,1.3021
104,2.1150,1.2960
105,2.1132,1.2936
106,2.1114,1.2959
107,2.1097,1.2872
108,2.1079,1.2874
109,2.1062,1.2800
110,2.1044,1.2723
111,2.1027,1.2730
112,2.1010,1.2658
113,2.0992,1.2674
114,2.0975,1.2630
115,2.0958,1.2563
116,2.0941,1.2565
117,2.0924,1.2541
118,2.0907,1.2522
119,2.0891,1.2491
120,2.0874,1.2431
121,2.0857,1.2421
122,2.0841,1.2402
123,2.0825,1.2384
124,2.0808,1.2366
125,2.0792,1.2361
126,2.0776,1.2333
127,2.0760,1.2350
128,2.0745,1.2258
129,2.0729,1.2242
130,2.0713,1.2250
131,2.0698,1.2272
132,2.0683,1.2241
133,2.0667,1.2192
134,2.0652,1.2178
135,2.0637,1.2149
136,2.0622,1.2173
137,2.0608,1.2132
138,2.0593,1.2132
139,2.0578,1.2097
140,2.0564,1.2105
141,2.0550,1.2124
142,2.0536,1.2063
143,2.0521,1.2043
144,2.0507,1.2026
145,2.0494,1.1983
146,2.0480,1.1993
147,2.0466,1.1983
148,2.0453,1.1930
149,2.0439,1.1941
150,2.0426,1.1939
151,2.0413,1.1938
152,2.0400,1.1961
153,2.0387,1.1929
154,2.0374,1.1931
155,2.0361,1.1917
156,2.0348,1.1890
157,2.0336,1.1843
158,2.0323,1.1867
159,2.0311,1.1854
160,2.0298,1.1816
161,2.0286,1.1784
162,2.0274,1.1776
163,2.0262,1.1743
164,2.0250,1.1787
165,2.0238,1.1789
166,2.0227,1.1747
167,2.0215,1.1737
168,2.0203,1.1752
169,2.0192,1.1739
170,2.0181,1.1708
171,2.0169,1.1693
172,2.0158,1.1687
173,2.0147,1.1710
174,2.0136,1.1693
175,2.0125,1.1698
176,2.0114,1.1638
177,2.0103,1.1623
178,2.0093,1.1632
179,2.0082,1.1639
180,2.0071,1.1612
181,2.0061,1.1584
182,2.0051,1.1603
183,2.0040,1.1568
184,2.0030,1.1532
185,2.0020,1.1561
186,2.0010,1.1603
187,2.0000,1.1573
188,1.9990,1.1580
189,1.9980,1.1578
190,1.9970,1.1564
191,1.9960,1.1526
192,1.9951,1.1512
193,1.9941,1.1468
194,1.9932,1.1464
195,1.9922,1.1460
196,1.9913,1.1438
197,1.9903,1.1445
198,1.9894,1.1413
199,1.9885,1.1472
200,1.9876,1.1407
201,1.9867,1.1446
202,1.9858,1.1485
203,1.9849,1.1434
204,1.9840,1.1391
205,1.9831,1.1410
206,1.9822,1.1412
207,1.9813,1.1396
208,1.9805,1.1371
209,1.9796,1.1337
210,1.9788,1.1327
211,1.9779,1.1361
212,1.9771,1.1330
213,1.9762,1.1334
214,1.9754,1.1310
215,1.9746,1.1293
216,1.9737,1.1293
217,1.9729,1.1260
218,1.9721,1.1306
219,1.9713,1.1302
220,1.9705,1.1309
221,1.9697,1.1336
222,1.9689,1.1315
223,1.9681,1.1297
224,1.9673,1.1256
225,1.9665,1.1214
226,1.9658,1.1196
227,1.9650,1.1243
228,1.9642,1.1144
229,1.9635,1.1209
230,1.9627,1.1206
231,1.9620,1.1177
232,1.9612,1.1157
233,1.9605,1.1182
234,1.9597,1.1197
235,1.9590,1.1167
236,1.9583,1.1183
237,1.9575,1.1156
238,1.9568,1.1112
239,1.9561,1.1157
240,1.9554,1.1155
241,1.9547,1.1122
242,1.9540,1.1157
243,1.9533,1.1075
244,1.9526,1.1087
245,1.9519,1.1085
246,1.9512,1.1045
247,1.9505,1.1042
248,1.9498,1.1060
249,1.9491,1.1062
250,1.9484,1.1058
251,1.9478,1.1120
252,1.9471,1.1069
253,1.9464,1.1069
254,1.9458,1.1041
255,1.9451,1.1026
256,1.9445,1.0975
257,1.9438,1.0990
258,1.9432,1.0997
259,1.9425,1.0990
260,1.9419,1.1047
261,1.9412,1.1003
262,1.9406,1.0989
263,1.9400,1.1026
264,1.9393,1.0970
265,1.9387,1.0977
266,1.9381,1.0943
267,1.9375,1.0954
268,1.9368,1.0925
269,1.9362,1.0895
270,1.9356,1.0924
271,1.9350,1.0926
272,1.9344,1.0882
273,1.9338,1.0957
274,1.9332,1.0889
275,1.9326,1.0933
276,1.9320,1.0916
277,1.9314,1.0882
278,1.9308,1.0902
279,1.9303,1.0879
280,1.9297,1.0910
281,1.9291,1.0899
282,1.9285,1.0867
283,1.9279,1.0845
284,1.9274,1.0849
285,1.9268,1.0809
286,1.9262,1.0766
287,1.9257,1.0831
288,1.9251,1.0845
289,1.9246,1.0858
290,1.9240,1.0833
291,1.9235,1.0796
292,1.9229,1.0817
293,1.9224,1.0767
294,1.9218,1.0745
295,1.9213,1.0781
296,1.9207,1.0802
297,1.9202,1.0795
298,1.9197,1.0758
299,1.9191,1.0752
