iter,loss,rmse
1,0.8049,1.5872
2,1.0718,1.5733
3,1.2041,1.5575
4,1.2824,1.5389
5,1.3335,1.5166
6,1.3688,1.4899
7,1.3940,1.4555
8,1.4123,1.4137
9,1.4254,1.3633
10,1.4345,1.3045
11,1.4406,1.2439
12,1.4445,1.1876
13,1.4468,1.1463
14,1.4485,1.1206
15,1.4498,1.1086
16,1.4511,1.0972
17,1.4519,1.0820
18,1.4521,1.0646
19,1.4518,1.0514
20,1.4511,1.0426
21,1.4503,1.0428
22,1.4493,1.0415
23,1.4483,1.0352
24,1.4471,1.0256
25,1.4458,1.0112
26,1.4442,0.9904
27,1.4426,0.9715
28,1.4408,0.9571
29,1.4390,0.9464
30,1.4373,0.9399
31,1.4355,0.9345
32,1.4337,0.9310
33,1.4318,0.9272
34,1.4299,0.9286
35,1.4279,0.9310
36,1.4261,0.9301
37,1.4242,0.9306
38,1.4224,0.9229
39,1.4205,0.9111
40,1.4186,0.9045
41,1.4167,0.8945
42,1.4149,0.8898
43,1.4131,0.8867
44,1.4113,0.8867
45,1.4095,0.8874
46,1.4077,0.8866
47,1.4060,0.8854
48,1.4042,0.8840
49,1.4025,0.8804
50,1.4008,0.8713
51,1.3991,0.8644
52,1.3974,0.8600
53,1.3958,0.8560
54,1.3941,0.8576
55,1.3925,0.8566
56,1.3909,0.8569
57,1.3894,0.8549
58,1.3879,0.8556
59,1.3863,0.8520
60,1.3848,0.8509
61,1.3834,0.8480
62,1.3819,0.8427
63,1.3805,0.8397
64,1.3790,0.8382
65,1.3776,0.8391
66,1.3762,0.8378
67,1.3749,0.8411
68,1.3735,0.8375
69,1.3722,0.8316
70,1.3709,0.8285
71,1.3696,0.8272
72,1.3683,0.8256
73,1.3670,0.8264
74,1.3658,0.8292
75,1.3645,0.8256
76,1.3633,0.8229
77,1.3621,0.8189
78,1.3609,0.8164
79,1.3597,0.8171
80,1.3585,0.8180
81,1.3574,0.8164
82,1.3562,0.8156
83,1.3551,0.8151
84,1.3539,0.8109
85,1.3528,0.8108
86,1.3517,0.8135
87,1.3506,0.8093
88,1.3495,0.8065
89,1.3485,0.8073
90,1.3474,0.8058
91,1.3463,0.8073
92,1.3453,0.8069
93,1.3442,0.8038
94,1.3432,0.7996
95,1.3422,0.8010
96,1.3412,0.8000
97,1.3402,0.8000
98,1.3392,0.8000
99,1.3382,0.8002
100,1.3372,0.7994
101,1.3363,0.7957
102,1.3353,0.7949
103,1.3344,0.7941
104,1.3334,0.7960
105,1.3325,0.7964
106,1.3316,0.7939
107,1.3306,0.7936
108,1.3297,0.7931
109,1.3288,0.7897
110,1.3280,0.7900
111,1.3271,0.7920
112,1.3262,0.7903
113,1.3253,0.7938
114,1.3245,0.7907
115,1.3236,0.7879
116,1.3228,0.7873
117,1.3219,0.7896
118,1.3211,0.7879
119,1.3203,0.7867
120,1.3195,0.7873
121,1.3186,0.7873
122,1.3178,0.7877
123,1.3170,0.7849
124,1.3163,0.7844
125,1.3155,0.7844
126,1.3147,0.7863
127,1.3139,0.7837
128,1.3131,0.7859
129,1.3124,0.7846
130,1.3116,0.7809
131,1.3109,0.7839
132,1.3101,0.7817
133,1.3094,0.7831
134,1.3087,0.7822
135,1.3079,0.7817
136,1.3072,0.7832
137,1.3065,0.7821
138,1.3058,0.7810
139,1.3051,0.7800
140,1.3044,0.7782
141,1.3037,0.7788
142,1.3030,0.7809
143,1.3023,0.7807
144,1.3017,0.7830
145,1.3010,0.7832
146,1.3003,0.7777
147,1.2997,0.7770
148,1.2990,0.7781
149,1.2984,0.7776
150,1.2977,0.7791
151,1.2971,0.7810
152,1.2964,0.7770
153,1.2958,0.7763
154,1.2952,0.7762
155,1.2945,0.7766
156,1.2939,0.7755
157,1.2933,0.7811
158,1.2927,0.7763
159,1.2921,0.7741
160,1.2915,0.7744
161,1.2909,0.7738
162,1.2903,0.7746
163,1.2897,0.7789
164,1.2891,0.7758
165,1.2885,0.7746
166,1.2879,0.7737
167,1.2874,0.7727
168,1.2868,0.7734
169,1.2862,0.7768
170,1.2857,0.7776
171,1.2851,0.7732
172,1.2846,0.7721
173,1.2840,0.7715
174,1.2835,0.7714
175,1.2829,0.7721
176,1.2824,0.7730
177,1.2818,0.7722
178,1.2813,0.7741
179,1.2808,0.7706
180,1.2803,0.7702
181,1.2797,0.7703
182,1.2792,0.7698
183,1.2787,0.7707
184,1.2782,0.7709
185,1.2777,0.7733
186,1.2772,0.7698
187,1.2767,0.7698
188,1.2762,0.7686
189,1.2757,0.7694
190,1.2752,0.7694
191,1.2747,0.7718
192,1.2742,0.7678
193,1.2737,0.7706
194,1.2733,0.7675
195,1.2728,0.7673
196,1.2723,0.7673
197,1.2718,0.7661
198,1.2714,0.7680
199,1.2709,0.7709
200,1.2704,0.7684
201,1.2700,0.7668
202,1.2695,0.7659
203,1.2691,0.7659
204,1.2686,0.7658
205,1.2682,0.7655
206,1.2677,0.7654
207,1.2673,0.7659
208,1.2668,0.7648
209,1.2664,0.7651
210,1.2659,0.7642
211,1.2655,0.7638
212,1.2651,0.7634
213,1.2646,0.7644
214,1.2642,0.7641
215,1.2638,0.7627
216,1.2634,0.7644
217,1.2629,0.7627
218,1.2625,0.7625
219,1.2621,0.7618
220,1.2617,0.7617
221,1.2613,0.7624
222,1.2609,0.7635
223,1.2605,0.7628
224,1.2601,0.7624
225,1.2597,0.7611
226,1.2593,0.7609
227,1.2589,0.7607
228,1.2585,0.7598
229,1.2581,0.7615
230,1.2577,0.7602
231,1.2573,0.7613
232,1.2569,0.7587
233,1.2565,0.7585
234,1.2561,0.7584
235,1.2558,0.7582
236,1.2554,0.7576
237,1.2550,0.7577
238,1.2546,0.7571
239,1.2542,0.7570
240,1.2539,0.7566
241,1.2535,0.7567
242,1.2531,0.7567
243,1.2528,0.7560
244,1.2524,0.7569
245,1.2520,0.7556
246,1.2517,0.7552
247,1.2513,0.7556
248,1.2509,0.7557
249,1.2506,0.7554
250,1.2502,0.7549
251,1.2499,0.7547
252,1.2495,0.7536
253,1.2492,0.7534
254,1.2488,0.7534
255,1.2485,0.7531
256,1.2481,0.7528
257,1.2478,0.7537
258,1.2475,0.7527
259,1.2471,0.7518
260,1.2468,0.7521
261,1.2464,0.7510
262,1.2461,0.7517
263,1.2458,0.7511
264,1.2455,0.7504
265,1.2451,0.7500
266,1.2448,0.7503
267,1.2445,0.7518
268,1.2441,0.7507
269,1.2438,0.7497
270,1.2435,0.7484
271,1.2432,0.7493
272,1.2429,0.7488
273,1.2425,0.7474
274,1.2422,0.7476
275,1.2419,0.7472
276,1.2416,0.7466
277,1.2413,0.7460
278,1.2410,0.7457
279,1.2407,0.7463
280,1.2404,0.7457
281,1.2400,0.7452
282,1.2397,0.7444
283,1.2394,0.7438
284,1.2391,0.7439
285,1.2388,0.7437
286,1.2385,0.7429
287,1.2382,0.7427
288,1.2379,0.7422
289,1.2376,0.7423
290,1.2373,0.7412
291,1.2370,0.7409
292,1.2367,0.7408
293,1.2364,0.7408
294,1.2361,0.7399
295,1.2359,0.7397
296,1.2356,0.7387
297,1.2353,0.7386
298,1.2350,0.7380
299,1.2347,0.7379
