iter,loss,rmse
1,0.8056,2.7214
2,1.0721,2.7035
3,1.2036,2.6832
4,1.2808,2.6591
5,1.3306,2.6282
6,1.3642,2.5888
7,1.3873,2.5357
8,1.4027,2.4652
9,1.4124,2.3780
10,1.4171,2.2572
11,1.4176,2.1097
12,1.4146,1.9349
13,1.4085,1.7286
14,1.4001,1.4999
15,1.3907,1.3043
16,1.3815,1.1560
17,1.3738,1.0732
18,1.3673,1.0315
19,1.3613,1.0272
20,1.3547,1.0110
21,1.3476,0.9995
22,1.3401,0.9973
23,1.3325,1.0104
24,1.3252,1.0464
25,1.3184,1.0812
26,1.3121,1.1056
27,1.3061,1.1232
28,1.3005,1.1404
29,1.2951,1.1320
30,1.2900,1.1264
31,1.2849,1.0908
32,1.2798,1.0589
33,1.2748,1.0323
34,1.2699,0.9919
35,1.2652,0.9766
36,1.2606,0.9520
37,1.2562,0.9295
38,1.2520,0.9220
39,1.2478,0.9035
40,1.2436,0.8914
41,1.2395,0.8792
42,1.2355,0.8822
43,1.2316,0.8888
44,1.2277,0.8813
45,1.2239,0.8882
46,1.2202,0.8977
47,1.2166,0.8854
48,1.2130,0.8880
49,1.2094,0.8684
50,1.2059,0.8553
51,1.2024,0.8596
52,1.1990,0.8404
53,1.1957,0.8372
54,1.1925,0.8369
55,1.1892,0.8255
56,1.1861,0.8305
57,1.1830,0.8293
58,1.1800,0.8278
59,1.1769,0.8181
60,1.1740,0.8211
61,1.1711,0.8180
62,1.1682,0.8245
63,1.1654,0.8245
64,1.1626,0.8283
65,1.1599,0.8326
66,1.1572,0.8164
67,1.1546,0.8138
68,1.1520,0.8136
69,1.1494,0.8207
70,1.1469,0.7962
71,1.1443,0.7972
72,1.1419,0.8004
73,1.1394,0.7672
74,1.1370,0.7754
75,1.1345,0.7644
76,1.1322,0.7815
77,1.1298,0.7654
78,1.1275,0.7614
79,1.1253,0.7658
80,1.1230,0.7656
81,1.1208,0.7654
82,1.1187,0.7692
83,1.1165,0.7603
84,1.1143,0.7549
85,1.1122,0.7459
86,1.1101,0.7426
87,1.1080,0.7382
88,1.1060,0.7385
89,1.1039,0.7331
90,1.1019,0.7385
91,1.0999,0.7284
92,1.0980,0.7407
93,1.0960,0.7343
94,1.0941,0.7255
95,1.0922,0.7315
96,1.0902,0.7265
97,1.0884,0.7225
98,1.0865,0.7257
99,1.0846,0.7078
100,1.0827,0.7085
101,1.0808,0.7078
102,1.0789,0.7053
103,1.0771,0.7045
104,1.0753,0.7042
105,1.0734,0.7038
106,1.0716,0.7137
107,1.0699,0.7104
108,1.0681,0.7042
109,1.0664,0.6947
110,1.0646,0.6782
111,1.0628,0.6837
112,1.0611,0.6914
113,1.0594,0.6811
114,1.0576,0.6780
115,1.0558,0.6744
116,1.0541,0.6718
117,1.0524,0.6807
118,1.0507,0.6726
119,1.0490,0.6708
120,1.0473,0.6783
121,1.0457,0.6678
122,1.0441,0.6760
123,1.0425,0.6746
124,1.0409,0.6749
125,1.0392,0.6540
126,1.0376,0.6638
127,1.0360,0.6613
128,1.0344,0.6534
129,1.0328,0.6558
130,1.0312,0.6551
131,1.0296,0.6466
132,1.0281,0.6415
133,1.0266,0.6510
134,1.0250,0.6441
135,1.0235,0.6499
136,1.0220,0.6520
137,1.0204,0.6358
138,1.0188,0.6371
139,1.0173,0.6246
140,1.0157,0.6289
141,1.0141,0.6302
142,1.0126,0.6177
143,1.0110,0.6233
144,1.0095,0.6232
145,1.0079,0.6104
146,1.0064,0.6272
147,1.0049,0.6082
148,1.0033,0.6165
149,1.0018,0.6135
150,1.0003,0.6148
151,0.9987,0.5973
152,0.9971,0.6059
153,0.9956,0.6041
154,0.9940,0.5954
155,0.9925,0.6096
156,0.9910,0.6043
157,0.9894,0.5898
158,0.9878,0.5879
159,0.9863,0.5842
160,0.9847,0.5892
161,0.9832,0.5894
162,0.9816,0.5769
163,0.9800,0.5828
164,0.9785,0.5773
165,0.9769,0.5803
166,0.9754,0.5782
167,0.9738,0.5841
168,0.9723,0.5703
169,0.9707,0.5723
170,0.9691,0.5628
171,0.9676,0.5746
172,0.9661,0.5795
173,0.9646,0.5676
174,0.9630,0.5593
175,0.9614,0.5718
176,0.9599,0.5566
177,0.9583,0.5589
178,0.9568,0.5601
179,0.9553,0.5510
180,0.9538,0.5472
181,0.9522,0.5457
182,0.9507,0.5480
183,0.9492,0.5546
184,0.9477,0.5435
185,0.9462,0.5471
186,0.9447,0.5430
187,0.9431,0.5330
188,0.9416,0.5380
189,0.9401,0.5316
190,0.9386,0.5300
191,0.9371,0.5368
192,0.9356,0.5319
193,0.9341,0.5291
194,0.9326,0.5267
195,0.9311,0.5283
196,0.9296,0.5272
197,0.9282,0.5366
198,0.9267,0.5348
199,0.9252,0.5271
200,0.9238,0.5275
201,0.9223,0.5157
202,0.9209,0.5245
203,0.9194,0.5205
204,0.9180,0.5130
205,0.9165,0.5175
206,0.9151,0.5229
207,0.9137,0.5131
208,0.9123,0.5132
209,0.9109,0.5178
210,0.9095,0.5104
211,0.9081,0.5115
212,0.9067,0.5145
213,0.9053,0.5060
214,0.9039,0.5057
215,0.9026,0.5083
216,0.9012,0.5018
217,0.8998,0.5009
218,0.8985,0.5107
219,0.8971,0.5058
220,0.8958,0.5037
221,0.8945,0.5063
222,0.8931,0.4925
223,0.8918,0.4915
224,0.8905,0.5001
225,0.8892,0.5089
226,0.8879,0.4925
227,0.8866,0.4964
228,0.8853,0.4938
229,0.8840,0.4855
230,0.8828,0.4802
231,0.8815,0.4908
232,0.8802,0.4826
233,0.8790,0.4894
234,0.8777,0.4838
235,0.8765,0.4864
236,0.8752,0.4866
237,0.8740,0.4692
238,0.8727,0.4774
239,0.8715,0.4801
240,0.8703,0.4789
241,0.8691,0.4814
242,0.8679,0.4762
243,0.8667,0.4837
244,0.8655,0.4811
245,0.8643,0.4679
246,0.8631,0.4737
247,0.8619,0.4768
248,0.8608,0.4678
249,0.8596,0.4675
250,0.8584,0.4791
251,0.8573,0.4798
252,0.8561,0.4618
253,0.8549,0.4744
254,0.8538,0.4646
255,0.8526,0.4548
256,0.8514,0.4630
257,0.8503,0.4657
258,0.8492,0.4526
259,0.8480,0.4547
