iter,loss,rmse
1,0.8048,1.7996
2,1.0729,1.7880
3,1.2068,1.7854
4,1.2871,1.7852
5,1.3405,1.7895
6,1.3786,1.7912
7,1.4070,1.8014
8,1.4291,1.7960
9,1.4468,1.7919
10,1.4611,1.7899
11,1.4730,1.7948
12,1.4830,1.7947
13,1.4916,1.7923
14,1.4991,1.7891
15,1.5055,1.7896
16,1.5111,1.7906
17,1.5161,1.7912
18,1.5205,1.7889
19,1.5244,1.7893
20,1.5280,1.7865
21,1.5311,1.7868
22,1.5339,1.7876
23,1.5366,1.7861
24,1.5389,1.7852
25,1.5411,1.7857
26,1.5430,1.7846
27,1.5449,1.7829
28,1.5465,1.7820
29,1.5480,1.7806
30,1.5494,1.7799
31,1.5507,1.7796
32,1.5520,1.7782
33,1.5531,1.7766
34,1.5541,1.7741
35,1.5551,1.7725
36,1.5559,1.7715
37,1.5567,1.7705
38,1.5574,1.7680
39,1.5581,1.7661
40,1.5587,1.7649
41,1.5593,1.7622
42,1.5597,1.7617
43,1.5602,1.7603
44,1.5606,1.7587
45,1.5610,1.7569
46,1.5614,1.7547
47,1.5617,1.7524
48,1.5621,1.7500
49,1.5623,1.7486
50,1.5625,1.7466
51,1.5628,1.7444
52,1.5630,1.7417
53,1.5632,1.7392
54,1.5633,1.7372
55,1.5635,1.7346
56,1.5637,1.7328
57,1.5637,1.7315
58,1.5637,1.7295
59,1.5638,1.7273
60,1.5638,1.7245
61,1.5638,1.7224
62,1.5637,1.7202
63,1.5638,1.7176
64,1.5637,1.7152
65,1.5637,1.7123
66,1.5637,1.7093
67,1.5636,1.7061
68,1.5635,1.7041
69,1.5633,1.7020
70,1.5633,1.6992
71,1.5631,1.6968
72,1.5631,1.6939
73,1.5630,1.6904
74,1.5629,1.6876
75,1.5629,1.6847
76,1.5627,1.6820
77,1.5626,1.6791
78,1.5624,1.6768
79,1.5622,1.6743
80,1.5620,1.6718
81,1.5618,1.6690
82,1.5617,1.6663
83,1.5614,1.6637
84,1.5612,1.6612
85,1.5610,1.6583
86,1.5608,1.6552
87,1.5606,1.6525
88,1.5604,1.6493
89,1.5602,1.6462
90,1.5599,1.6434
91,1.5597,1.6404
92,1.5595,1.6376
93,1.5592,1.6347
94,1.5589,1.6320
95,1.5586,1.6296
96,1.5584,1.6269
97,1.5581,1.6238
98,1.5578,1.6206
99,1.5576,1.6177
100,1.5573,1.6149
101,1.5570,1.6120
102,1.5568,1.6089
103,1.5564,1.6062
104,1.5562,1.6029
105,1.5559,1.6001
106,1.5556,1.5972
107,1.5553,1.5943
108,1.5550,1.5917
109,1.5547,1.5889
110,1.5544,1.5862
111,1.5541,1.5833
112,1.5538,1.5806
113,1.5535,1.5777
114,1.5532,1.5749
115,1.5528,1.5723
116,1.5525,1.5693
117,1.5522,1.5667
118,1.5520,1.5641
119,1.5516,1.5614
120,1.5514,1.5586
121,1.5511,1.5561
122,1.5509,1.5532
123,1.5506,1.5506
124,1.5503,1.5479
125,1.5499,1.5453
126,1.5496,1.5427
127,1.5493,1.5400
128,1.5490,1.5373
129,1.5486,1.5348
130,1.5483,1.5322
131,1.5480,1.5298
132,1.5476,1.5274
133,1.5473,1.5247
134,1.5470,1.5220
135,1.5466,1.5195
136,1.5463,1.5170
137,1.5461,1.5145
138,1.5458,1.5121
139,1.5454,1.5097
140,1.5451,1.5073
141,1.5448,1.5050
142,1.5446,1.5025
143,1.5442,1.5003
144,1.5438,1.4980
145,1.5435,1.4957
146,1.5432,1.4931
147,1.5429,1.4908
148,1.5426,1.4884
149,1.5423,1.4861
150,1.5419,1.4840
151,1.5416,1.4817
152,1.5412,1.4793
153,1.5410,1.4770
154,1.5406,1.4748
155,1.5403,1.4725
156,1.5400,1.4704
157,1.5396,1.4681
158,1.5393,1.4661
159,1.5390,1.4638
160,1.5387,1.4616
161,1.5384,1.4595
162,1.5380,1.4575
163,1.5377,1.4552
164,1.5374,1.4531
165,1.5371,1.4508
166,1.5368,1.4488
167,1.5364,1.4469
168,1.5361,1.4448
169,1.5358,1.4427
170,1.5354,1.4405
171,1.5351,1.4384
172,1.5348,1.4362
173,1.5345,1.4342
174,1.5342,1.4322
175,1.5338,1.4303
176,1.5336,1.4282
177,1.5332,1.4262
178,1.5329,1.4242
179,1.5325,1.4223
180,1.5322,1.4202
181,1.5319,1.4181
182,1.5316,1.4161
183,1.5312,1.4142
184,1.5308,1.4122
185,1.5305,1.4105
186,1.5300,1.4085
187,1.5297,1.4066
188,1.5294,1.4048
189,1.5291,1.4028
190,1.5288,1.4010
191,1.5285,1.3992
192,1.5282,1.3975
193,1.5279,1.3957
194,1.5276,1.3937
195,1.5272,1.3918
196,1.5269,1.3899
197,1.5266,1.3880
198,1.5262,1.3861
199,1.5259,1.3844
200,1.5255,1.3826
201,1.5252,1.3808
202,1.5249,1.3790
203,1.5246,1.3773
204,1.5243,1.3756
205,1.5240,1.3737
206,1.5237,1.3721
207,1.5234,1.3703
208,1.5231,1.3686
209,1.5228,1.3669
210,1.5224,1.3652
211,1.5220,1.3635
212,1.5217,1.3618
213,1.5214,1.3602
214,1.5210,1.3586
215,1.5207,1.3569
216,1.5204,1.3554
217,1.5200,1.3537
218,1.5197,1.3521
219,1.5194,1.3505
220,1.5191,1.3488
221,1.5188,1.3472
222,1.5185,1.3455
223,1.5181,1.3438
224,1.5178,1.3422
225,1.5174,1.3408
226,1.5171,1.3392
227,1.5167,1.3379
228,1.5163,1.3363
229,1.5160,1.3349
230,1.5157,1.3335
231,1.5153,1.3318
232,1.5150,1.3303
233,1.5147,1.3288
234,1.5144,1.3272
235,1.5141,1.3257
236,1.5137,1.3242
237,1.5134,1.3229
238,1.5131,1.3214
239,1.5127,1.3198
240,1.5124,1.3185
241,1.5121,1.3170
242,1.5118,1.3154
243,1.5114,1.3140
244,1.5111,1.3126
245,1.5108,1.3110
246,1.5105,1.3096
247,1.5102,1.3081
248,1.5098,1.3066
249,1.5095,1.3052
250,1.5092,1.3037
251,1.5088,1.3023
252,1.5085,1.3008
253,1.5081,1.2993
254,1.5078,1.2980
255,1.5075,1.2966
256,1.5072,1.2952
257,1.5068,1.2938
258,1.5065,1.2922
259,1.5062,1.2909
260,1.5058,1.2895
261,1.5055,1.2880
262,1.5052,1.2866
263,1.5049,1.2852
264,1.5045,1.2837
265,1.5042,1.2823
266,1.5039,1.2809
267,1.5035,1.2795
268,1.5032,1.2782
269,1.5029,1.2768
270,1.5026,1.2754
271,1.5022,1.2741
272,1.5019,1.2729
273,1.5016,1.2716
274,1.5012,1.2704
275,1.5009,1.2691
276,1.5006,1.2679
277,1.5003,1.2665
278,1.5000,1.2653
279,1.4997,1.2639
280,1.4994,1.2627
281,1.4991,1.2614
282,1.4987,1.2601
283,1.4984,1.2590
284,1.4981,1.2578
285,1.4977,1.2565
286,1.4973,1.2553
287,1.4970,1.2541
288,1.4967,1.2528
289,1.4963,1.2515
290,1.4960,1.2503
291,1.4956,1.2491
292,1.4953,1.2479
293,1.4950,1.2466
294,1.4946,1.2453
295,1.4943,1.2442
296,1.4940,1.2430
297,1.4937,1.2418
298,1.4933,1.2405
299,1.4930,1.2392
300,1.4927,1.2381
301,1.4923,1.2370
302,1.4920,1.2358
303,1.4916,1.2346
304,1.4912,1.2335
305,1.4909,1.2323
306,1.4906,1.2311
307,1.4902,1.2300
308,1.4899,1.2289
309,1.4895,1.2277
310,1.4892,1.2266
311,1.4888,1.2254
312,1.4885,1.2242
313,1.4881,1.2230
314,1.4878,1.2219
315,1.4874,1.2207
316,1.4871,1.2196
317,1.4867,1.2185
318,1.4863,1.2173
319,1.4860,1.2162
320,1.4857,1.2150
321,1.4854,1.2140
322,1.4851,1.2130
323,1.4848,1.2120
324,1.4844,1.2109
325,1.4840,1.2097
