iter,loss,rmse
1,0.8056,1.8332
2,1.0735,1.8159
3,1.2070,1.8265
4,1.2867,1.8182
5,1.3395,1.8210
6,1.3771,1.8120
7,1.4049,1.8063
8,1.4263,1.7984
9,1.4432,1.7917
10,1.4569,1.7929
11,1.4682,1.7885
12,1.4776,1.7840
13,1.4854,1.7823
14,1.4922,1.7787
15,1.4979,1.7722
16,1.5029,1.7668
17,1.5071,1.7637
18,1.5107,1.7575
19,1.5140,1.7511
20,1.5168,1.7443
21,1.5192,1.7408
22,1.5213,1.7354
23,1.5231,1.7333
24,1.5246,1.7289
25,1.5260,1.7229
26,1.5271,1.7173
27,1.5280,1.7116
28,1.5288,1.7065
29,1.5293,1.7014
30,1.5298,1.6954
31,1.5302,1.6900
32,1.5304,1.6833
33,1.5305,1.6781
34,1.5304,1.6713
35,1.5303,1.6655
36,1.5300,1.6600
37,1.5297,1.6540
38,1.5293,1.6477
39,1.5289,1.6406
40,1.5283,1.6336
41,1.5277,1.6271
