iter,loss,rmse
1,0.8044,1.5523
2,1.0685,1.5578
3,1.1984,1.5586
4,1.2749,1.5666
5,1.3253,1.5832
6,1.3603,1.5809
7,1.3860,1.5634
8,1.4054,1.5601
9,1.4204,1.5448
10,1.4324,1.5349
11,1.4418,1.5429
12,1.4493,1.5132
13,1.4555,1.5425
14,1.4601,1.4871
15,1.4641,1.4434
16,1.4672,1.4468
17,1.4697,1.4197
18,1.4719,1.3917
19,1.4737,1.3624
20,1.4749,1.3587
21,1.4759,1.3483
22,1.4769,1.4169
23,1.4776,1.3306
24,1.4782,1.3174
25,1.4786,1.3364
26,1.4790,1.3386
27,1.4795,1.3037
28,1.4797,1.3217
29,1.4798,1.3645
30,1.4798,1.3448
31,1.4798,1.3227
32,1.4798,1.3128
33,1.4797,1.3556
34,1.4796,1.3402
35,1.4795,1.3599
36,1.4795,1.3201
37,1.4793,1.3359
38,1.4792,1.3198
39,1.4790,1.2858
40,1.4789,1.3326
41,1.4786,1.3563
42,1.4784,1.3141
43,1.4782,1.3330
44,1.4779,1.3401
45,1.4777,1.2987
46,1.4775,1.3105
47,1.4773,1.3275
48,1.4771,1.2936
49,1.4768,1.2741
50,1.4766,1.3033
51,1.4763,1.2730
52,1.4760,1.2932
53,1.4757,1.3305
54,1.4755,1.3481
55,1.4752,1.3555
56,1.4749,1.3150
57,1.4745,1.2964
58,1.4742,1.2453
59,1.4740,1.2413
60,1.4737,1.2338
61,1.4734,1.3050
62,1.4731,1.2822
63,1.4728,1.3248
64,1.4726,1.3512
65,1.4723,1.2946
66,1.4720,1.2772
67,1.4717,1.2778
68,1.4714,1.2541
69,1.4711,1.2675
70,1.4707,1.2698
71,1.4704,1.2836
72,1.4701,1.2957
73,1.4698,1.2795
74,1.4695,1.2737
75,1.4692,1.2632
76,1.4689,1.2850
77,1.4687,1.2636
78,1.4683,1.2442
79,1.4680,1.2763
80,1.4677,1.2868
81,1.4674,1.2517
82,1.4672,1.2473
83,1.4668,1.2467
84,1.4666,1.2638
85,1.4663,1.2951
86,1.4660,1.2939
87,1.4657,1.3189
88,1.4654,1.2728
89,1.4651,1.2033
90,1.4649,1.2076
91,1.4646,1.1907
92,1.4643,1.2231
93,1.4640,1.2745
94,1.4637,1.2581
95,1.4634,1.2870
96,1.4631,1.2642
97,1.4628,1.2604
98,1.4625,1.2536
99,1.4622,1.2186
100,1.4620,1.1726
101,1.4617,1.1946
102,1.4614,1.2289
103,1.4611,1.2394
104,1.4608,1.2658
105,1.4605,1.2648
106,1.4603,1.2089
107,1.4600,1.2161
108,1.4597,1.2082
109,1.4594,1.2497
110,1.4592,1.1822
111,1.4589,1.1709
112,1.4586,1.1932
113,1.4584,1.2100
114,1.4581,1.2433
115,1.4578,1.1959
116,1.4576,1.2090
117,1.4573,1.2333
118,1.4570,1.1796
119,1.4568,1.1709
120,1.4565,1.1842
121,1.4562,1.1801
122,1.4559,1.1537
123,1.4557,1.2085
124,1.4554,1.1631
125,1.4551,1.1581
126,1.4548,1.1211
127,1.4546,1.1912
128,1.4543,1.2074
129,1.4540,1.1993
130,1.4538,1.1793
131,1.4535,1.1278
132,1.4532,1.1039
133,1.4530,1.1326
134,1.4527,1.1031
135,1.4524,1.1443
136,1.4521,1.1232
137,1.4519,1.1432
138,1.4516,1.1646
139,1.4513,1.1206
140,1.4510,1.1017
141,1.4508,1.0774
142,1.4505,1.0770
143,1.4502,1.1232
144,1.4499,1.0893
145,1.4497,1.0880
146,1.4494,1.0958
147,1.4491,1.1150
148,1.4489,1.0813
149,1.4486,1.0537
150,1.4483,1.0349
151,1.4481,1.0182
152,1.4478,1.0508
153,1.4475,1.1044
154,1.4472,1.0568
155,1.4469,1.0616
156,1.4466,1.0393
157,1.4464,0.9969
158,1.4461,1.0266
159,1.4458,0.9739
160,1.4455,0.9763
161,1.4451,1.0012
162,1.4449,1.0316
163,1.4446,1.0411
164,1.4443,1.0175
165,1.4440,0.9769
166,1.4437,0.9269
167,1.4434,0.9793
168,1.4431,0.9569
169,1.4428,0.9519
170,1.4424,0.9319
171,1.4421,0.9520
172,1.4418,0.9428
173,1.4414,0.9711
174,1.4411,0.9415
175,1.4408,0.9181
176,1.4404,0.9125
177,1.4401,0.8963
178,1.4398,0.9187
179,1.4394,0.9252
180,1.4391,0.9079
181,1.4387,0.9066
182,1.4383,0.8831
183,1.4379,0.8882
184,1.4376,0.8832
185,1.4372,0.8941
186,1.4368,0.8666
187,1.4364,0.8732
188,1.4360,0.8618
189,1.4356,0.8612
190,1.4352,0.8592
191,1.4348,0.8715
192,1.4344,0.8526
193,1.4339,0.8570
194,1.4335,0.8527
195,1.4331,0.8476
196,1.4326,0.8442
197,1.4321,0.8455
198,1.4317,0.8433
199,1.4312,0.8424
200,1.4307,0.8492
201,1.4302,0.8460
202,1.4297,0.8425
203,1.4292,0.8387
204,1.4286,0.8384
205,1.4281,0.8460
206,1.4275,0.8466
207,1.4270,0.8478
208,1.4264,0.8414
209,1.4258,0.8494
210,1.4253,0.8392
211,1.4247,0.8432
212,1.4241,0.8619
213,1.4236,0.8498
214,1.4229,0.8582
215,1.4223,0.8596
216,1.4218,0.8690
217,1.4212,0.8460
218,1.4206,0.8624
219,1.4200,0.8643
220,1.4194,0.8581
221,1.4189,0.8599
222,1.4183,0.8562
223,1.4177,0.8704
224,1.4172,0.8768
225,1.4166,0.8797
226,1.4160,0.8689
227,1.4155,0.8577
228,1.4149,0.8615
229,1.4144,0.8650
230,1.4138,0.8707
231,1.4133,0.8710
232,1.4127,0.8793
233,1.4122,0.8776
234,1.4116,0.8725
235,1.4110,0.8636
236,1.4105,0.8702
237,1.4100,0.8628
238,1.4094,0.8672
239,1.4089,0.8612
240,1.4084,0.8624
241,1.4078,0.8627
242,1.4073,0.8685
243,1.4067,0.8775
244,1.4062,0.8575
245,1.4057,0.8676
246,1.4052,0.8527
247,1.4047,0.8611
248,1.4042,0.8544
249,1.4036,0.8581
250,1.4031,0.8681
251,1.4026,0.8571
252,1.4021,0.8491
253,1.4016,0.8628
254,1.4011,0.8612
255,1.4006,0.8549
256,1.4002,0.8718
257,1.3997,0.8667
258,1.3992,0.8585
