iter,loss,rmse
1,0.8046,1.5456
2,1.0722,1.5378
3,1.2055,1.5442
4,1.2851,1.5415
5,1.3378,1.5419
6,1.3751,1.5389
7,1.4028,1.5391
8,1.4239,1.5390
9,1.4407,1.5360
10,1.4542,1.5326
11,1.4651,1.5230
12,1.4740,1.5158
13,1.4811,1.5118
14,1.4872,1.5049
15,1.4923,1.4966
16,1.4965,1.4934
17,1.4996,1.4852
18,1.5021,1.4754
19,1.5041,1.4655
20,1.5056,1.4560
21,1.5071,1.4473
22,1.5085,1.4375
23,1.5088,1.4278
24,1.5092,1.4184
25,1.5098,1.4089
26,1.5103,1.4013
27,1.5108,1.3922
28,1.5104,1.3833
29,1.5103,1.3756
30,1.5099,1.3677
31,1.5093,1.3592
32,1.5083,1.3552
33,1.5076,1.3476
34,1.5065,1.3394
35,1.5060,1.3324
36,1.5050,1.3248
37,1.5042,1.3183
38,1.5032,1.3107
39,1.5023,1.3045
40,1.5010,1.2971
41,1.4999,1.2907
42,1.4990,1.2844
43,1.4980,1.2780
44,1.4970,1.2722
45,1.4960,1.2659
46,1.4948,1.2602
47,1.4938,1.2545
48,1.4929,1.2516
49,1.4917,1.2458
50,1.4905,1.2409
51,1.4894,1.2353
52,1.4883,1.2305
53,1.4872,1.2264
54,1.4860,1.2214
55,1.4851,1.2171
56,1.4838,1.2119
57,1.4827,1.2076
58,1.4816,1.2029
59,1.4806,1.1985
60,1.4797,1.1949
61,1.4787,1.1917
62,1.4777,1.1877
63,1.4765,1.1844
64,1.4760,1.1826
65,1.4747,1.1789
66,1.4735,1.1751
67,1.4725,1.1717
68,1.4717,1.1694
69,1.4707,1.1663
70,1.4697,1.1627
71,1.4689,1.1603
72,1.4680,1.1571
73,1.4670,1.1545
74,1.4659,1.1515
75,1.4651,1.1491
76,1.4641,1.1463
77,1.4634,1.1436
78,1.4627,1.1410
79,1.4618,1.1380
80,1.4608,1.1367
81,1.4599,1.1341
82,1.4589,1.1314
83,1.4581,1.1294
84,1.4572,1.1270
85,1.4562,1.1245
86,1.4555,1.1228
87,1.4547,1.1208
88,1.4541,1.1190
89,1.4533,1.1170
90,1.4525,1.1148
91,1.4517,1.1130
92,1.4509,1.1110
93,1.4501,1.1093
94,1.4494,1.1077
95,1.4485,1.1056
96,1.4476,1.1043
97,1.4466,1.1022
98,1.4459,1.1005
99,1.4452,1.0992
100,1.4445,1.0975
101,1.4438,1.0959
102,1.4432,1.0945
103,1.4426,1.0933
104,1.4419,1.0915
105,1.4411,1.0899
106,1.4404,1.0883
107,1.4395,1.0864
108,1.4387,1.0849
109,1.4381,1.0835
110,1.4373,1.0820
111,1.4367,1.0807
112,1.4361,1.0800
113,1.4352,1.0781
114,1.4344,1.0768
115,1.4338,1.0757
116,1.4333,1.0749
117,1.4327,1.0737
118,1.4321,1.0723
119,1.4316,1.0710
120,1.4310,1.0702
121,1.4303,1.0686
122,1.4296,1.0674
123,1.4290,1.0659
124,1.4284,1.0647
125,1.4279,1.0637
126,1.4273,1.0624
127,1.4267,1.0613
128,1.4261,1.0605
129,1.4255,1.0596
130,1.4249,1.0585
131,1.4244,1.0576
132,1.4236,1.0562
133,1.4230,1.0550
134,1.4225,1.0539
135,1.4220,1.0531
136,1.4214,1.0523
137,1.4208,1.0512
138,1.4203,1.0502
139,1.4197,1.0492
140,1.4192,1.0482
141,1.4187,1.0473
142,1.4181,1.0463
143,1.4175,1.0450
144,1.4171,1.0445
145,1.4164,1.0435
146,1.4159,1.0425
147,1.4154,1.0415
148,1.4149,1.0404
149,1.4143,1.0394
150,1.4138,1.0385
151,1.4133,1.0376
152,1.4128,1.0369
153,1.4124,1.0361
154,1.4118,1.0350
155,1.4113,1.0341
156,1.4106,1.0330
157,1.4103,1.0324
158,1.4099,1.0316
159,1.4095,1.0311
160,1.4092,1.0307
161,1.4088,1.0298
162,1.4082,1.0289
163,1.4077,1.0279
164,1.4073,1.0271
165,1.4067,1.0263
166,1.4063,1.0256
