iter,loss,rmse
1,1.1513,1.5943
2,1.5346,1.5915
3,1.7260,1.6000
4,1.8405,1.6117
5,1.9167,1.6080
6,1.9708,1.6109
7,2.0112,1.6173
8,2.0424,1.6174
9,2.0670,1.6160
10,2.0870,1.6187
11,2.1033,1.6154
12,2.1168,1.6128
13,2.1283,1.6108
14,2.1379,1.6088
15,2.1458,1.6104
16,2.1527,1.6050
17,2.1582,1.6027
18,2.1626,1.5989
19,2.1661,1.5949
20,2.1689,1.5914
21,2.1713,1.5859
22,2.1726,1.5806
23,2.1740,1.5731
24,2.1750,1.5643
25,2.1753,1.5562
26,2.1759,1.5461
27,2.1756,1.5383
28,2.1751,1.5292
29,2.1745,1.5221
30,2.1738,1.5146
31,2.1729,1.5062
32,2.1726,1.4977
33,2.1719,1.4918
34,2.1714,1.4842
35,2.1706,1.4775
36,2.1692,1.4707
37,2.1679,1.4648
38,2.1670,1.4594
39,2.1660,1.4542
40,2.1650,1.4483
41,2.1637,1.4445
42,2.1624,1.4407
43,2.1615,1.4362
44,2.1600,1.4314
45,2.1588,1.4276
46,2.1572,1.4222
47,2.1559,1.4178
48,2.1545,1.4136
49,2.1537,1.4093
50,2.1523,1.4050
51,2.1509,1.4009
52,2.1495,1.3964
53,2.1482,1.3917
54,2.1466,1.3875
55,2.1453,1.3834
56,2.1437,1.3787
57,2.1423,1.3743
58,2.1411,1.3701
59,2.1396,1.3665
60,2.1379,1.3628
61,2.1363,1.3595
62,2.1348,1.3562
63,2.1331,1.3533
64,2.1315,1.3502
65,2.1300,1.3469
66,2.1288,1.3433
67,2.1270,1.3392
68,2.1254,1.3359
69,2.1240,1.3326
70,2.1225,1.3295
71,2.1208,1.3264
72,2.1193,1.3236
73,2.1175,1.3202
74,2.1157,1.3171
75,2.1141,1.3138
76,2.1124,1.3111
77,2.1110,1.3080
78,2.1094,1.3052
79,2.1076,1.3022
80,2.1059,1.2994
81,2.1040,1.2957
82,2.1022,1.2931
83,2.1005,1.2902
84,2.0986,1.2873
85,2.0970,1.2845
86,2.0952,1.2815
87,2.0933,1.2784
88,2.0917,1.2755
89,2.0900,1.2730
90,2.0882,1.2703
