iter,loss,rmse
1,0.8045,1.6254
2,1.0723,1.6263
3,1.2059,1.6009
4,1.2859,1.6063
5,1.3389,1.5991
6,1.3766,1.5956
7,1.4048,1.5985
8,1.4265,1.5979
9,1.4435,1.5940
10,1.4574,1.5949
11,1.4689,1.5983
12,1.4782,1.5962
13,1.4860,1.5928
14,1.4925,1.5890
15,1.4981,1.5898
16,1.5030,1.5899
17,1.5072,1.5876
18,1.5104,1.5869
19,1.5133,1.5857
20,1.5159,1.5838
21,1.5176,1.5801
22,1.5192,1.5762
23,1.5203,1.5695
24,1.5215,1.5630
25,1.5226,1.5542
26,1.5237,1.5459
27,1.5248,1.5375
28,1.5255,1.5295
29,1.5260,1.5225
30,1.5263,1.5147
31,1.5266,1.5074
32,1.5267,1.5008
33,1.5267,1.4952
34,1.5268,1.4905
35,1.5268,1.4866
36,1.5269,1.4822
37,1.5270,1.4767
38,1.5270,1.4733
39,1.5267,1.4681
40,1.5266,1.4651
41,1.5265,1.4622
42,1.5264,1.4582
43,1.5262,1.4539
44,1.5258,1.4499
45,1.5256,1.4459
46,1.5254,1.4429
47,1.5249,1.4392
48,1.5247,1.4352
49,1.5243,1.4312
50,1.5239,1.4273
51,1.5236,1.4246
52,1.5228,1.4207
53,1.5222,1.4172
54,1.5217,1.4139
55,1.5211,1.4101
56,1.5206,1.4054
57,1.5201,1.4013
58,1.5194,1.3972
59,1.5187,1.3932
60,1.5179,1.3904
61,1.5171,1.3871
62,1.5166,1.3842
63,1.5161,1.3816
64,1.5155,1.3787
65,1.5150,1.3753
66,1.5142,1.3720
67,1.5138,1.3691
68,1.5134,1.3662
69,1.5131,1.3632
70,1.5126,1.3611
71,1.5122,1.3586
72,1.5118,1.3563
73,1.5112,1.3539
74,1.5105,1.3511
75,1.5099,1.3480
76,1.5092,1.3452
77,1.5085,1.3421
78,1.5079,1.3397
79,1.5073,1.3374
80,1.5067,1.3346
81,1.5060,1.3325
82,1.5053,1.3301
83,1.5045,1.3277
84,1.5038,1.3251
