iter,loss,rmse
1,1.1528,1.7062
2,1.5370,1.6998
3,1.7277,1.6932
4,1.8413,1.6862
5,1.9168,1.6788
6,1.9706,1.6707
7,2.0107,1.6617
8,2.0416,1.6516
9,2.0661,1.6399
10,2.0858,1.6267
11,2.1019,1.6114
12,2.1153,1.5941
13,2.1265,1.5745
14,2.1358,1.5519
15,2.1435,1.5274
16,2.1500,1.5010
17,2.1553,1.4725
18,2.1597,1.4416
19,2.1632,1.4120
20,2.1660,1.3811
21,2.1681,1.3512
22,2.1696,1.3215
23,2.1705,1.2918
24,2.1709,1.2617
25,2.1709,1.2345
26,2.1705,1.2104
27,2.1699,1.1890
28,2.1690,1.1681
29,2.1678,1.1553
