iter,loss,rmse
1,0.8067,1.5622
2,1.0740,1.5485
3,1.2064,1.5345
4,1.2848,1.5196
5,1.3362,1.5033
6,1.3719,1.4848
7,1.3977,1.4626
8,1.4167,1.4347
9,1.4309,1.4023
10,1.4412,1.3642
11,1.4486,1.3201
12,1.4537,1.2765
13,1.4571,1.2407
14,1.4592,1.2091
15,1.4607,1.1899
16,1.4618,1.1845
17,1.4627,1.1823
18,1.4634,1.1737
19,1.4636,1.1564
20,1.4636,1.1467
21,1.4632,1.1298
22,1.4626,1.1216
23,1.4619,1.1071
24,1.4611,1.0987
25,1.4603,1.0911
26,1.4594,1.0803
27,1.4584,1.0691
28,1.4573,1.0593
29,1.4561,1.0478
30,1.4548,1.0377
31,1.4534,1.0259
32,1.4521,1.0202
33,1.4507,1.0191
34,1.4494,1.0134
35,1.4480,1.0075
36,1.4467,0.9998
37,1.4452,0.9942
38,1.4437,0.9866
39,1.4423,0.9813
40,1.4408,0.9788
41,1.4394,0.9760
42,1.4379,0.9687
43,1.4365,0.9701
44,1.4350,0.9651
45,1.4334,0.9647
46,1.4319,0.9626
47,1.4304,0.9633
48,1.4289,0.9646
49,1.4275,0.9604
50,1.4260,0.9567
51,1.4246,0.9495
52,1.4231,0.9479
53,1.4217,0.9451
54,1.4203,0.9456
55,1.4189,0.9455
56,1.4175,0.9450
57,1.4162,0.9482
58,1.4149,0.9416
59,1.4135,0.9448
60,1.4122,0.9389
61,1.4109,0.9365
62,1.4096,0.9296
63,1.4083,0.9301
64,1.4071,0.9250
65,1.4058,0.9230
66,1.4045,0.9188
67,1.4033,0.9239
68,1.4021,0.9157
69,1.4009,0.9173
70,1.3997,0.9120
71,1.3985,0.9039
72,1.3973,0.9037
73,1.3961,0.8990
74,1.3949,0.9021
75,1.3938,0.9045
76,1.3927,0.9024
77,1.3916,0.9052
78,1.3904,0.9007
79,1.3893,0.8994
80,1.3882,0.8924
81,1.3871,0.8876
82,1.3861,0.8880
83,1.3850,0.8813
84,1.3839,0.8800
85,1.3829,0.8818
86,1.3818,0.8811
87,1.3808,0.8834
88,1.3797,0.8813
89,1.3787,0.8836
90,1.3777,0.8831
91,1.3767,0.8778
92,1.3757,0.8735
93,1.3747,0.8704
94,1.3737,0.8662
95,1.3727,0.8638
96,1.3718,0.8675
97,1.3708,0.8693
98,1.3698,0.8681
99,1.3689,0.8669
100,1.3679,0.8654
101,1.3670,0.8619
102,1.3661,0.8653
103,1.3651,0.8608
104,1.3642,0.8600
105,1.3633,0.8584
106,1.3624,0.8579
107,1.3614,0.8528
108,1.3605,0.8572
109,1.3596,0.8505
110,1.3587,0.8474
111,1.3578,0.8497
112,1.3569,0.8482
113,1.3560,0.8473
114,1.3552,0.8467
115,1.3543,0.8415
116,1.3534,0.8462
117,1.3526,0.8500
118,1.3517,0.8494
119,1.3508,0.8393
120,1.3500,0.8420
121,1.3491,0.8399
122,1.3483,0.8356
123,1.3474,0.8338
124,1.3466,0.8355
125,1.3457,0.8402
126,1.3449,0.8406
127,1.3441,0.8343
128,1.3433,0.8256
129,1.3424,0.8275
130,1.3416,0.8284
131,1.3408,0.8302
132,1.3399,0.8311
133,1.3391,0.8390
134,1.3383,0.8301
135,1.3375,0.8262
136,1.3367,0.8206
137,1.3359,0.8256
138,1.3351,0.8230
139,1.3343,0.8205
140,1.3335,0.8197
141,1.3327,0.8224
142,1.3319,0.8212
143,1.3311,0.8118
144,1.3303,0.8157
145,1.3295,0.8142
146,1.3287,0.8176
147,1.3280,0.8169
148,1.3272,0.8184
149,1.3264,0.8155
