iter,loss,rmse
1,1.1539,1.7171
2,1.5374,1.7112
3,1.7283,1.7047
4,1.8422,1.6981
5,1.9175,1.6912
6,1.9710,1.6841
7,2.0107,1.6762
8,2.0413,1.6682
9,2.0655,1.6608
10,2.0850,1.6522
11,2.1011,1.6437
12,2.1144,1.6337
13,2.1255,1.6248
14,2.1349,1.6132
15,2.1430,1.6031
16,2.1499,1.5912
17,2.1558,1.5774
18,2.1609,1.5642
19,2.1654,1.5523
20,2.1692,1.5388
21,2.1726,1.5233
22,2.1755,1.5052
23,2.1780,1.4883
24,2.1802,1.4733
25,2.1822,1.4551
26,2.1838,1.4369
27,2.1853,1.4195
28,2.1865,1.4009
29,2.1875,1.3791
