iter,loss,rmse
1,1.1539,1.7171
2,1.5374,1.7112
3,1.7283,1.7047
4,1.8422,1.6981
5,1.9175,1.6912
6,1.9710,1.6841
7,2.0107,1.6762
8,2.0413,1.6682
9,2.0655,1.6608
10,2.0850,1.6522
11,2.1011,1.6437
12,2.1144,1.6337
13,2.1255,1.6248
14,2.1349,1.6132
15,2.1430,1.6031
16,2.1499,1.5912
17,2.1558,1.5774
18,2.1609,1.5642
19,2.1654,1.5523
20,2.1692,1.5388
21,2.1726,1.5233
22,2.1755,1.5052
23,2.1780,1.4883
24,2.1802,1.4733
25,2.1822,1.4551
26,2.1838,1.4369
27,2.1853,1.4195
28,2.1865,1.4009
29,2.1875,1.3791
30,2.1884,1.3582
31,2.1891,1.3411
32,2.1897,1.3224
33,2.1902,1.3048
34,2.1906,1.2837
35,2.1909,1.2669
36,2.1911,1.2550
37,2.1912,1.2397
38,2.1912,1.2213
39,2.1912,1.2067
40,2.1912,1.1916
41,2.1911,1.1802
42,2.1909,1.1723
43,2.1907,1.1629
44,2.1905,1.1510
45,2.1902,1.1462
46,2.1899,1.1315
47,2.1895,1.1260
48,2.1891,1.1189
49,2.1887,1.1162
50,2.1882,1.1104
51,2.1877,1.1093
52,2.1872,1.1049
53,2.1867,1.1091
54,2.1861,1.0987
55,2.1855,1.0981
56,2.1849,1.0948
57,2.1843,1.0965
58,2.1836,1.0917
59,2.1830,1.0889
60,2.1823,1.0837
61,2.1816,1.0805
62,2.1809,1.0753
63,2.1802,1.0724
64,2.1794,1.0654
65,2.1787,1.0596
66,2.1779,1.0528
67,2.1772,1.0475
68,2.1764,1.0375
69,2.1756,1.0355
70,2.1748,1.0281
71,2.1740,1.0242
72,2.1732,1.0211
73,2.1723,1.0136
74,2.1715,1.0107
75,2.1706,1.0083
76,2.1697,1.0036
77,2.1688,1.0021
78,2.1679,0.9999
79,2.1670,0.9950
80,2.1661,0.9914
81,2.1652,0.9914
82,2.1642,0.9859
83,2.1632,0.9817
84,2.1623,0.9782
85,2.1613,0.9760
86,2.1603,0.9713
87,2.1593,0.9667
88,2.1583,0.9612
89,2.1572,0.9600
90,2.1562,0.9574
91,2.1551,0.9512
92,2.1541,0.9521
93,2.1530,0.9478
94,2.1519,0.9454
95,2.1508,0.9428
96,2.1497,0.9413
97,2.1486,0.9379
98,2.1474,0.9366
99,2.1463,0.9339
100,2.1451,0.9330
101,2.1439,0.9291
102,2.1427,0.9273
103,2.1415,0.9259
104,2.1403,0.9235
105,2.1391,0.9233
106,2.1378,0.9214
107,2.1366,0.9194
108,2.1353,0.9193
109,2.1340,0.9180
110,2.1327,0.9160
111,2.1314,0.9151
112,2.1301,0.9134
113,2.1288,0.9135
114,2.1274,0.9136
115,2.1261,0.9140
116,2.1247,0.9140
117,2.1233,0.9146
118,2.1219,0.9125
119,2.1205,0.9134
120,2.1191,0.9138
121,2.1177,0.9130
122,2.1162,0.9138
123,2.1148,0.9161
124,2.1133,0.9159
125,2.1118,0.9163
126,2.1103,0.9164
127,2.1088,0.9179
128,2.1073,0.9164
129,2.1058,0.9148
130,2.1043,0.9147
131,2.1027,0.9183
132,2.1011,0.9172
133,2.0996,0.9167
134,2.0980,0.9180
135,2.0964,0.9169
136,2.0948,0.9196
137,2.0932,0.9188
138,2.0916,0.9196
139,2.0900,0.9215
140,2.0884,0.9219
141,2.0867,0.9214
142,2.0851,0.9218
143,2.0835,0.9254
144,2.0818,0.9264
145,2.0802,0.9256
146,2.0785,0.9239
147,2.0769,0.9262
148,2.0752,0.9251
149,2.0736,0.9240
150,2.0719,0.9267
151,2.0703,0.9276
152,2.0687,0.9289
153,2.0670,0.9263
154,2.0654,0.9273
155,2.0637,0.9260
