iter,loss,rmse
1,0.8048,1.5537
2,1.0691,1.5346
3,1.1983,1.5128
4,1.2728,1.4839
5,1.3199,1.4525
6,1.3511,1.4103
7,1.3729,1.3629
8,1.3891,1.3173
9,1.4016,1.2757
10,1.4113,1.2529
11,1.4186,1.2415
12,1.4235,1.2435
13,1.4272,1.2542
14,1.4298,1.2530
15,1.4316,1.2416
16,1.4329,1.2348
17,1.4337,1.2048
18,1.4344,1.1891
19,1.4351,1.1514
20,1.4353,1.1449
21,1.4355,1.1428
22,1.4355,1.1530
23,1.4355,1.1273
24,1.4355,1.1167
25,1.4354,1.1169
26,1.4351,1.1135
27,1.4349,1.1161
28,1.4344,1.1246
29,1.4339,1.1598
30,1.4333,1.1560
31,1.4327,1.1402
32,1.4321,1.1425
33,1.4314,1.1399
34,1.4308,1.1233
35,1.4302,1.1389
36,1.4295,1.1422
37,1.4288,1.1518
38,1.4281,1.1397
39,1.4274,1.1581
40,1.4268,1.1375
41,1.4260,1.1198
42,1.4252,1.1075
43,1.4245,1.0928
44,1.4238,1.0815
45,1.4230,1.0866
46,1.4222,1.0984
47,1.4215,1.1011
48,1.4207,1.0949
49,1.4200,1.0703
50,1.4192,1.0601
51,1.4184,1.0565
52,1.4176,1.0612
53,1.4168,1.0721
54,1.4160,1.0649
55,1.4152,1.0806
56,1.4144,1.0551
57,1.4137,1.0514
58,1.4128,1.0526
59,1.4121,1.0517
60,1.4113,1.0522
61,1.4106,1.0808
62,1.4098,1.0547
63,1.4090,1.0493
64,1.4083,1.0278
65,1.4075,1.0258
66,1.4067,1.0235
67,1.4060,1.0421
68,1.4052,1.0409
69,1.4045,1.0329
70,1.4037,1.0288
71,1.4029,1.0201
72,1.4022,1.0067
73,1.4014,1.0185
74,1.4006,1.0126
75,1.3999,1.0116
76,1.3992,1.0232
77,1.3985,1.0166
78,1.3977,1.0083
79,1.3970,1.0084
80,1.3963,1.0190
81,1.3955,1.0006
82,1.3948,0.9835
83,1.3941,0.9898
84,1.3933,1.0052
85,1.3926,1.0083
86,1.3919,0.9975
87,1.3912,0.9903
88,1.3905,0.9756
89,1.3897,0.9682
90,1.3891,0.9775
91,1.3883,0.9824
92,1.3877,0.9968
93,1.3870,0.9957
94,1.3863,0.9776
95,1.3856,0.9673
96,1.3849,0.9695
97,1.3842,0.9738
98,1.3836,1.0024
99,1.3829,0.9919
100,1.3822,0.9665
101,1.3815,0.9612
102,1.3809,0.9628
103,1.3802,0.9503
104,1.3795,0.9613
105,1.3789,0.9680
106,1.3783,0.9663
107,1.3776,0.9612
108,1.3769,0.9445
109,1.3763,0.9623
110,1.3756,0.9503
111,1.3749,0.9499
112,1.3743,0.9571
113,1.3736,0.9584
114,1.3730,0.9502
115,1.3724,0.9458
116,1.3717,0.9440
117,1.3711,0.9480
118,1.3705,0.9379
119,1.3699,0.9350
120,1.3692,0.9556
121,1.3686,0.9391
122,1.3680,0.9307
123,1.3674,0.9332
124,1.3667,0.9279
125,1.3661,0.9279
126,1.3655,0.9182
127,1.3649,0.9322
128,1.3643,0.9372
129,1.3637,0.9353
130,1.3631,0.9219
131,1.3625,0.9191
132,1.3619,0.9207
133,1.3613,0.9319
134,1.3607,0.9295
135,1.3601,0.9285
136,1.3595,0.9196
137,1.3589,0.9175
138,1.3584,0.9147
139,1.3578,0.9094
140,1.3572,0.9087
141,1.3566,0.9111
142,1.3561,0.9248
143,1.3555,0.9171
144,1.3549,0.9042
145,1.3544,0.9108
146,1.3538,0.9053
147,1.3533,0.9165
148,1.3527,0.9148
149,1.3522,0.9091
150,1.3517,0.9075
151,1.3511,0.8960
152,1.3506,0.8929
153,1.3500,0.9007
154,1.3495,0.8987
155,1.3490,0.8973
156,1.3484,0.9074
157,1.3479,0.8985
158,1.3474,0.9065
159,1.3469,0.8899
160,1.3463,0.8858
161,1.3458,0.8841
162,1.3453,0.9069
163,1.3448,0.9034
