iter,loss,rmse
1,0.8047,1.5307
2,1.0714,1.5006
3,1.2030,1.4433
4,1.2800,1.3390
5,1.3301,1.2061
6,1.3632,1.1687
7,1.3856,1.1706
8,1.4012,1.1342
9,1.4120,1.0566
10,1.4201,1.0550
11,1.4275,1.0423
12,1.4331,1.0447
13,1.4369,1.0303
14,1.4396,1.0527
15,1.4409,0.9970
16,1.4415,0.9742
17,1.4417,0.9692
18,1.4415,0.9819
19,1.4411,0.9775
20,1.4405,0.9901
21,1.4395,0.9711
22,1.4379,0.9622
23,1.4363,0.9538
24,1.4346,0.9500
25,1.4326,0.9492
26,1.4313,0.9390
27,1.4293,0.9372
28,1.4275,0.9518
29,1.4257,0.9671
30,1.4241,0.9667
31,1.4225,0.9467
32,1.4206,0.9468
33,1.4188,0.9552
34,1.4170,0.9630
35,1.4155,0.9617
36,1.4138,0.9821
37,1.4122,0.9704
38,1.4104,0.9662
39,1.4090,0.9947
40,1.4073,0.9625
41,1.4057,0.9547
42,1.4040,0.9524
43,1.4025,0.9413
44,1.4011,0.9446
45,1.3995,0.9484
46,1.3981,0.9573
47,1.3967,0.9629
48,1.3954,0.9458
49,1.3942,0.9565
50,1.3929,0.9439
51,1.3916,0.9503
52,1.3903,0.9535
53,1.3891,0.9312
54,1.3878,0.9385
55,1.3865,0.9354
56,1.3853,0.9250
57,1.3841,0.9378
58,1.3828,0.9235
59,1.3816,0.9231
60,1.3805,0.9461
61,1.3793,0.9319
62,1.3781,0.9264
63,1.3772,0.9294
64,1.3760,0.9141
65,1.3748,0.9199
66,1.3736,0.9101
67,1.3724,0.9155
68,1.3713,0.9117
69,1.3703,0.9139
70,1.3692,0.9084
71,1.3681,0.9059
72,1.3669,0.8964
73,1.3658,0.8986
74,1.3647,0.8951
75,1.3636,0.8958
76,1.3625,0.8966
77,1.3616,0.9231
78,1.3605,0.8930
79,1.3595,0.9038
80,1.3584,0.8915
81,1.3575,0.9107
82,1.3565,0.8932
83,1.3554,0.8823
84,1.3543,0.8843
85,1.3533,0.8929
86,1.3524,0.8878
87,1.3513,0.8749
88,1.3504,0.8935
89,1.3494,0.8867
