iter,loss,rmse
1,0.8042,1.5801
2,1.0659,1.5364
3,1.1812,1.3562
4,1.2530,1.1249
5,1.3036,1.2037
6,1.3274,1.1609
7,1.3480,1.1290
8,1.3649,1.1509
9,1.3768,1.1448
10,1.3841,1.1147
11,1.3881,1.0567
12,1.3906,0.9838
13,1.3932,0.9618
14,1.3941,0.9608
15,1.3943,0.9787
16,1.3944,0.9879
17,1.3939,0.9676
18,1.3927,0.9438
19,1.3910,0.9309
20,1.3893,0.9175
21,1.3874,0.9195
22,1.3851,0.9071
23,1.3827,0.8954
24,1.3802,0.8993
25,1.3778,0.9002
26,1.3752,0.8885
27,1.3726,0.8813
28,1.3700,0.8826
29,1.3676,0.8767
30,1.3650,0.8682
31,1.3627,0.8568
32,1.3602,0.8541
33,1.3579,0.8608
34,1.3557,0.8628
35,1.3535,0.8600
36,1.3515,0.8573
37,1.3495,0.8624
38,1.3477,0.8539
39,1.3458,0.8444
40,1.3439,0.8436
41,1.3422,0.8430
42,1.3404,0.8388
43,1.3387,0.8391
44,1.3371,0.8449
45,1.3354,0.8443
46,1.3337,0.8375
47,1.3321,0.8350
48,1.3305,0.8301
49,1.3289,0.8273
50,1.3274,0.8320
51,1.3260,0.8267
52,1.3247,0.8330
53,1.3232,0.8300
54,1.3219,0.8307
55,1.3205,0.8321
56,1.3192,0.8307
57,1.3178,0.8224
58,1.3165,0.8234
59,1.3152,0.8255
60,1.3139,0.8196
61,1.3127,0.8294
62,1.3114,0.8236
63,1.3102,0.8212
64,1.3090,0.8180
65,1.3078,0.8224
66,1.3066,0.8194
67,1.3055,0.8167
68,1.3044,0.8184
69,1.3032,0.8109
70,1.3022,0.8161
71,1.3011,0.8141
72,1.3000,0.8154
73,1.2989,0.8115
74,1.2979,0.8126
75,1.2968,0.8088
76,1.2958,0.8076
77,1.2947,0.8067
78,1.2937,0.8092
79,1.2927,0.8077
80,1.2917,0.8040
81,1.2907,0.8009
82,1.2897,0.8033
83,1.2887,0.8009
84,1.2877,0.7988
85,1.2868,0.8000
86,1.2858,0.7980
87,1.2849,0.8015
88,1.2840,0.7986
89,1.2831,0.7966
90,1.2822,0.7955
91,1.2813,0.8003
92,1.2804,0.7929
93,1.2795,0.7934
94,1.2787,0.7937
95,1.2778,0.7936
96,1.2770,0.7921
97,1.2762,0.7928
98,1.2754,0.7898
99,1.2746,0.7899
100,1.2738,0.7896
101,1.2730,0.7866
102,1.2722,0.7861
103,1.2714,0.7866
104,1.2706,0.7866
105,1.2699,0.7852
106,1.2691,0.7835
107,1.2684,0.7826
108,1.2677,0.7868
109,1.2670,0.7846
110,1.2663,0.7851
111,1.2656,0.7843
112,1.2650,0.7812
113,1.2643,0.7815
114,1.2636,0.7791
115,1.2629,0.7764
116,1.2623,0.7799
117,1.2616,0.7770
118,1.2610,0.7794
119,1.2604,0.7766
120,1.2598,0.7784
121,1.2592,0.7780
122,1.2585,0.7753
123,1.2579,0.7782
124,1.2574,0.7724
125,1.2568,0.7736
126,1.2562,0.7755
127,1.2556,0.7771
128,1.2551,0.7745
129,1.2545,0.7795
130,1.2540,0.7747
131,1.2534,0.7701
132,1.2529,0.7769
133,1.2524,0.7720
134,1.2518,0.7703
135,1.2513,0.7708
136,1.2508,0.7744
137,1.2503,0.7746
138,1.2498,0.7689
139,1.2493,0.7816
140,1.2489,0.7713
141,1.2484,0.7690
142,1.2479,0.7722
143,1.2474,0.7732
144,1.2469,0.7715
145,1.2465,0.7734
146,1.2460,0.7697
147,1.2456,0.7734
148,1.2452,0.7724
149,1.2447,0.7671
150,1.2444,0.7782
151,1.2439,0.7694
152,1.2435,0.7675
153,1.2431,0.7706
154,1.2427,0.7638
155,1.2423,0.7718
156,1.2418,0.7661
157,1.2414,0.7660
158,1.2411,0.7705
159,1.2407,0.7680
160,1.2403,0.7658
161,1.2399,0.7709
162,1.2395,0.7663
163,1.2391,0.7662
164,1.2387,0.7666
165,1.2384,0.7660
166,1.2380,0.7630
167,1.2376,0.7642
168,1.2372,0.7635
169,1.2369,0.7637
170,1.2365,0.7637
171,1.2361,0.7625
172,1.2358,0.7669
173,1.2354,0.7637
174,1.2351,0.7625
175,1.2348,0.7748
176,1.2344,0.7615
177,1.2341,0.7635
178,1.2338,0.7636
179,1.2334,0.7609
180,1.2331,0.7605
181,1.2327,0.7615
182,1.2324,0.7596
183,1.2321,0.7595
184,1.2318,0.7581
185,1.2314,0.7599
186,1.2311,0.7585
187,1.2308,0.7561
188,1.2304,0.7581
189,1.2301,0.7585
190,1.2298,0.7567
191,1.2295,0.7523
192,1.2291,0.7536
193,1.2288,0.7571
194,1.2285,0.7522
195,1.2282,0.7516
196,1.2279,0.7541
197,1.2276,0.7517
198,1.2272,0.7506
199,1.2269,0.7528
200,1.2266,0.7497
201,1.2263,0.7535
202,1.2260,0.7514
203,1.2257,0.7517
204,1.2254,0.7512
205,1.2252,0.7501
206,1.2249,0.7552
207,1.2246,0.7604
208,1.2244,0.7495
209,1.2241,0.7587
210,1.2238,0.7505
211,1.2235,0.7486
212,1.2233,0.7498
213,1.2230,0.7560
214,1.2228,0.7526
215,1.2225,0.7578
216,1.2222,0.7468
217,1.2220,0.7467
218,1.2217,0.7464
219,1.2214,0.7507
220,1.2212,0.7476
221,1.2209,0.7443
222,1.2207,0.7474
223,1.2204,0.7427
224,1.2201,0.7441
225,1.2199,0.7453
226,1.2196,0.7412
227,1.2193,0.7409
228,1.2191,0.7415
229,1.2188,0.7473
230,1.2186,0.7390
231,1.2183,0.7423
232,1.2181,0.7390
233,1.2178,0.7419
234,1.2176,0.7392
235,1.2173,0.7367
236,1.2170,0.7360
237,1.2168,0.7400
238,1.2166,0.7449
239,1.2163,0.7342
240,1.2161,0.7392
241,1.2158,0.7378
