iter,loss,rmse
1,0.8045,2.7167
2,1.0636,2.6786
3,1.1822,2.5968
4,1.2411,2.4041
5,1.2743,1.9948
6,1.3014,1.7125
7,1.3161,1.7300
8,1.3240,1.8917
9,1.3296,2.0235
10,1.3340,2.0537
11,1.3371,2.0074
12,1.3392,1.9259
13,1.3397,1.7139
14,1.3400,1.5709
15,1.3399,1.5443
16,1.3390,1.5427
17,1.3374,1.6417
18,1.3356,1.6296
19,1.3338,1.6536
20,1.3315,1.5889
21,1.3291,1.4584
22,1.3267,1.3403
23,1.3244,1.3164
24,1.3220,1.3248
25,1.3195,1.4091
26,1.3171,1.4576
27,1.3146,1.4064
28,1.3120,1.3125
29,1.3094,1.2332
30,1.3067,1.2541
31,1.3042,1.2536
32,1.3017,1.2908
33,1.2992,1.3054
34,1.2964,1.2227
35,1.2940,1.1759
36,1.2915,1.1593
37,1.2891,1.1781
38,1.2868,1.1864
39,1.2845,1.1860
40,1.2822,1.1657
41,1.2799,1.1709
42,1.2776,1.2008
43,1.2754,1.1523
44,1.2732,1.1511
45,1.2711,1.1109
46,1.2689,1.1192
47,1.2668,1.1244
48,1.2647,1.1321
49,1.2626,1.0962
50,1.2606,1.0765
51,1.2587,1.0920
52,1.2568,1.1076
53,1.2549,1.1061
54,1.2529,1.0851
55,1.2510,1.0582
56,1.2491,1.0534
57,1.2473,1.0575
58,1.2455,1.0634
59,1.2437,1.0652
60,1.2420,1.0576
61,1.2402,1.0460
62,1.2385,1.0387
63,1.2368,1.0497
64,1.2352,1.0635
65,1.2336,1.0444
66,1.2319,1.0308
67,1.2303,1.0311
68,1.2287,1.0234
69,1.2271,1.0430
70,1.2256,1.0294
71,1.2241,1.0191
72,1.2226,1.0282
73,1.2211,1.0204
74,1.2197,1.0298
75,1.2181,1.0100
76,1.2167,1.0073
77,1.2152,1.0075
78,1.2138,1.0044
79,1.2125,1.0184
80,1.2112,1.0110
81,1.2098,0.9990
82,1.2085,1.0008
83,1.2072,0.9923
84,1.2059,1.0081
85,1.2047,1.0146
86,1.2034,0.9919
87,1.2022,0.9962
88,1.2010,1.0029
89,1.1998,0.9955
90,1.1986,0.9931
91,1.1974,0.9934
92,1.1963,1.0006
93,1.1951,0.9962
94,1.1941,1.0025
95,1.1930,0.9925
96,1.1919,0.9985
97,1.1908,0.9922
98,1.1897,0.9879
99,1.1887,0.9897
100,1.1877,1.0002
101,1.1867,0.9986
102,1.1857,0.9844
103,1.1847,0.9930
104,1.1837,0.9889
105,1.1828,0.9922
106,1.1818,0.9888
107,1.1809,0.9855
108,1.1799,0.9782
109,1.1790,0.9824
110,1.1781,0.9819
111,1.1772,0.9798
112,1.1763,0.9802
113,1.1754,0.9857
114,1.1746,0.9777
115,1.1737,0.9770
116,1.1729,0.9903
117,1.1721,0.9808
118,1.1712,0.9858
119,1.1704,0.9815
120,1.1696,0.9850
121,1.1689,0.9881
122,1.1681,0.9827
123,1.1673,0.9745
124,1.1666,0.9775
125,1.1658,0.9795
126,1.1651,0.9813
127,1.1644,0.9875
128,1.1637,0.9779
129,1.1630,0.9830
130,1.1623,0.9833
131,1.1616,0.9809
132,1.1609,0.9871
133,1.1603,0.9877
134,1.1596,0.9794
135,1.1590,0.9807
136,1.1584,0.9922
137,1.1577,0.9712
138,1.1571,0.9799
139,1.1564,0.9670
140,1.1558,0.9805
141,1.1551,0.9818
142,1.1545,0.9766
143,1.1539,0.9733
144,1.1533,0.9865
145,1.1528,0.9870
146,1.1522,0.9710
147,1.1516,0.9743
148,1.1510,0.9784
149,1.1504,0.9760
150,1.1499,0.9767
151,1.1493,0.9825
152,1.1488,0.9879
153,1.1483,0.9912
154,1.1477,0.9750
155,1.1472,0.9699
156,1.1467,0.9714
157,1.1461,0.9794
158,1.1456,0.9817
159,1.1451,0.9897
160,1.1447,0.9842
161,1.1442,0.9802
162,1.1437,0.9884
163,1.1432,0.9773
164,1.1427,0.9784
165,1.1422,0.9776
166,1.1417,0.9796
167,1.1413,0.9900
168,1.1408,0.9854
169,1.1404,0.9781
170,1.1399,0.9810
171,1.1395,0.9870
172,1.1390,0.9853
173,1.1386,0.9861
174,1.1382,0.9811
175,1.1377,0.9689
176,1.1373,0.9949
177,1.1369,0.9800
178,1.1365,0.9779
179,1.1361,0.9838
180,1.1356,0.9834
181,1.1352,0.9910
182,1.1348,0.9737
183,1.1344,0.9845
184,1.1340,0.9845
185,1.1336,0.9784
186,1.1332,0.9856
187,1.1328,0.9764
188,1.1324,0.9774
189,1.1320,0.9881
190,1.1316,0.9742
191,1.1312,0.9810
192,1.1308,0.9802
