iter,loss,rmse
1,0.8044,2.7149
2,1.0588,2.6014
3,1.1503,2.1541
4,1.1691,1.2706
5,1.1915,1.1499
6,1.1985,1.0810
7,1.1966,1.0838
8,1.1913,1.1647
9,1.1850,1.1363
10,1.1795,1.0644
11,1.1745,1.0106
12,1.1673,0.9968
13,1.1597,1.0087
14,1.1532,0.9721
15,1.1467,0.9423
16,1.1397,0.9286
17,1.1329,0.9162
18,1.1269,0.9227
19,1.1210,0.9391
20,1.1152,0.9312
21,1.1097,0.9151
22,1.1042,0.8924
23,1.0993,0.8766
24,1.0946,0.8840
25,1.0898,0.8756
26,1.0852,0.8741
27,1.0808,0.8777
28,1.0768,0.8738
29,1.0728,0.8617
30,1.0689,0.8551
31,1.0653,0.8607
32,1.0617,0.8428
33,1.0583,0.8583
34,1.0549,0.8428
35,1.0516,0.8443
36,1.0486,0.8385
37,1.0456,0.8332
38,1.0427,0.8276
39,1.0400,0.8323
40,1.0373,0.8298
41,1.0347,0.8249
42,1.0320,0.8196
43,1.0295,0.8087
44,1.0270,0.8154
45,1.0246,0.8146
46,1.0223,0.8111
47,1.0199,0.8030
48,1.0177,0.7960
49,1.0155,0.8010
50,1.0133,0.7963
51,1.0112,0.7918
52,1.0092,0.7900
53,1.0072,0.7922
54,1.0052,0.7781
55,1.0032,0.7827
56,1.0015,0.7872
57,0.9997,0.7820
58,0.9980,0.7868
59,0.9963,0.7824
60,0.9946,0.7798
61,0.9929,0.7754
62,0.9912,0.7727
63,0.9896,0.7769
64,0.9879,0.7656
65,0.9864,0.7738
66,0.9849,0.7628
67,0.9834,0.7772
68,0.9819,0.7647
69,0.9804,0.7672
70,0.9789,0.7622
71,0.9775,0.7621
72,0.9760,0.7584
73,0.9746,0.7572
74,0.9732,0.7535
75,0.9718,0.7464
76,0.9704,0.7494
77,0.9691,0.7531
78,0.9678,0.7557
79,0.9665,0.7378
80,0.9653,0.7498
81,0.9641,0.7450
82,0.9630,0.7610
83,0.9617,0.7384
84,0.9605,0.7486
85,0.9593,0.7469
86,0.9581,0.7340
87,0.9569,0.7372
88,0.9558,0.7469
89,0.9547,0.7400
90,0.9535,0.7389
91,0.9524,0.7440
92,0.9513,0.7394
93,0.9502,0.7334
94,0.9492,0.7350
95,0.9481,0.7360
96,0.9471,0.7350
97,0.9460,0.7175
98,0.9449,0.7362
99,0.9438,0.7247
100,0.9428,0.7316
101,0.9418,0.7285
102,0.9408,0.7252
103,0.9398,0.7318
104,0.9388,0.7169
105,0.9378,0.7285
106,0.9369,0.7272
107,0.9360,0.7264
108,0.9350,0.7231
109,0.9341,0.7178
110,0.9332,0.7205
111,0.9322,0.7258
112,0.9314,0.7225
113,0.9305,0.7210
114,0.9296,0.7174
115,0.9286,0.7021
116,0.9278,0.7210
117,0.9269,0.7101
118,0.9261,0.7190
119,0.9252,0.7030
120,0.9243,0.7241
121,0.9235,0.6948
122,0.9227,0.7256
123,0.9219,0.7150
124,0.9210,0.7189
125,0.9202,0.7128
126,0.9195,0.7138
127,0.9186,0.7052
128,0.9178,0.7031
129,0.9170,0.7177
130,0.9163,0.7117
131,0.9156,0.7150
132,0.9148,0.7151
133,0.9142,0.7139
134,0.9135,0.7131
135,0.9127,0.7106
136,0.9120,0.7194
137,0.9112,0.6921
138,0.9105,0.7013
139,0.9097,0.6951
140,0.9090,0.7060
141,0.9083,0.6984
142,0.9076,0.6925
143,0.9068,0.6957
144,0.9060,0.6931
145,0.9053,0.6904
146,0.9046,0.6860
147,0.9038,0.6965
148,0.9032,0.7012
149,0.9025,0.6858
150,0.9018,0.6840
151,0.9011,0.6919
152,0.9004,0.6925
153,0.8997,0.6965
154,0.8990,0.6867
155,0.8983,0.6927
156,0.8977,0.6900
157,0.8970,0.6853
158,0.8964,0.6881
159,0.8957,0.6933
160,0.8951,0.6955
161,0.8945,0.6774
162,0.8938,0.6878
163,0.8931,0.6871
164,0.8925,0.6853
165,0.8918,0.6840
166,0.8912,0.6912
167,0.8906,0.6889
168,0.8900,0.6848
169,0.8894,0.6803
170,0.8888,0.6767
171,0.8882,0.6829
172,0.8877,0.7040
173,0.8871,0.6818
174,0.8865,0.6877
175,0.8859,0.6834
176,0.8854,0.6776
177,0.8848,0.6896
178,0.8842,0.6791
179,0.8837,0.6773
180,0.8831,0.6784
181,0.8825,0.6799
182,0.8820,0.6656
183,0.8814,0.6839
184,0.8808,0.6730
185,0.8803,0.6772
186,0.8798,0.6771
187,0.8792,0.6783
188,0.8787,0.6746
189,0.8782,0.6765
190,0.8776,0.6647
191,0.8771,0.6681
192,0.8766,0.6670
193,0.8760,0.6649
194,0.8755,0.6790
195,0.8749,0.6664
196,0.8744,0.6763
197,0.8739,0.6679
198,0.8734,0.6684
199,0.8729,0.6662
200,0.8725,0.6866
201,0.8719,0.6679
202,0.8715,0.6773
203,0.8710,0.6578
204,0.8705,0.6764
205,0.8700,0.6674
206,0.8695,0.6629
207,0.8690,0.6689
208,0.8686,0.6749
209,0.8681,0.6706
210,0.8676,0.6706
211,0.8672,0.6653
212,0.8667,0.6648
213,0.8662,0.6772
214,0.8658,0.6658
215,0.8654,0.6700
216,0.8649,0.6679
217,0.8644,0.6540
218,0.8640,0.6767
219,0.8636,0.6735
220,0.8631,0.6729
221,0.8627,0.6668
222,0.8623,0.6642
223,0.8618,0.6536
224,0.8614,0.6644
225,0.8610,0.6706
226,0.8606,0.6695
227,0.8602,0.6813
228,0.8598,0.6725
229,0.8594,0.6686
230,0.8590,0.6521
231,0.8586,0.6609
232,0.8582,0.6739
233,0.8578,0.6618
234,0.8574,0.6724
235,0.8570,0.6488
236,0.8566,0.6603
237,0.8562,0.6594
238,0.8558,0.6621
239,0.8554,0.6718
240,0.8550,0.6647
241,0.8547,0.6706
242,0.8543,0.6584
243,0.8539,0.6740
244,0.8536,0.6598
245,0.8532,0.6553
246,0.8528,0.6579
247,0.8524,0.6526
248,0.8521,0.6686
249,0.8517,0.6405
250,0.8514,0.6581
251,0.8510,0.6631
252,0.8506,0.6631
253,0.8502,0.6697
254,0.8499,0.6483
255,0.8495,0.6604
256,0.8492,0.6522
257,0.8488,0.6489
258,0.8484,0.6508
259,0.8481,0.6459
260,0.8477,0.6526
261,0.8474,0.6644
262,0.8470,0.6671
263,0.8467,0.6612
264,0.8464,0.6520
265,0.8460,0.6591
266,0.8457,0.6647
267,0.8454,0.6603
268,0.8450,0.6645
269,0.8447,0.6679
270,0.8444,0.6417
271,0.8441,0.6554
272,0.8438,0.6663
273,0.8435,0.6538
274,0.8431,0.6552
275,0.8429,0.6531
276,0.8426,0.6638
277,0.8422,0.6502
278,0.8419,0.6661
279,0.8416,0.6633
280,0.8413,0.6575
281,0.8410,0.6492
282,0.8407,0.6622
