iter,loss,rmse
1,0.8044,2.7166
2,1.0634,2.6774
3,1.1805,2.5844
4,1.2343,2.3143
5,1.2671,1.7064
6,1.2890,1.5228
7,1.2960,1.6386
8,1.2981,1.8651
9,1.2984,1.9116
10,1.2961,1.8058
11,1.2915,1.5748
12,1.2889,1.4378
13,1.2866,1.4794
14,1.2842,1.4244
15,1.2810,1.4895
16,1.2774,1.5322
17,1.2737,1.5651
18,1.2698,1.4852
19,1.2658,1.4044
20,1.2623,1.2307
21,1.2591,1.1778
22,1.2554,1.1947
23,1.2517,1.3020
24,1.2484,1.3476
25,1.2449,1.2720
26,1.2415,1.1457
27,1.2382,1.1412
28,1.2351,1.1631
29,1.2317,1.1900
30,1.2286,1.2841
31,1.2254,1.2107
32,1.2220,1.1072
33,1.2190,1.0570
34,1.2158,1.0248
35,1.2127,1.0697
36,1.2098,1.1048
37,1.2069,1.1201
38,1.2040,1.0720
39,1.2013,1.0313
40,1.1986,1.0354
41,1.1959,1.0402
42,1.1933,1.0488
43,1.1907,1.0541
44,1.1880,0.9882
45,1.1855,0.9672
46,1.1830,0.9646
47,1.1804,0.9660
48,1.1780,1.0050
49,1.1756,0.9818
50,1.1732,0.9685
51,1.1709,0.9510
52,1.1686,0.9252
53,1.1663,0.9361
54,1.1639,0.9334
55,1.1617,0.9473
56,1.1596,0.9472
57,1.1574,0.9250
58,1.1555,0.9071
59,1.1533,0.9041
60,1.1512,0.9138
61,1.1491,0.9244
62,1.1470,0.9053
63,1.1449,0.8897
64,1.1428,0.8802
65,1.1407,0.8712
66,1.1387,0.8737
67,1.1366,0.8816
68,1.1346,0.8558
69,1.1326,0.8733
70,1.1305,0.8620
71,1.1284,0.8608
72,1.1263,0.8549
73,1.1243,0.8439
74,1.1223,0.8516
75,1.1203,0.8418
76,1.1182,0.8463
77,1.1162,0.8446
78,1.1143,0.8381
79,1.1124,0.8324
80,1.1105,0.8364
81,1.1087,0.8407
82,1.1068,0.8479
83,1.1049,0.8212
84,1.1030,0.8247
85,1.1013,0.8351
86,1.0995,0.8246
87,1.0977,0.8302
88,1.0959,0.8320
89,1.0942,0.8277
90,1.0925,0.8294
91,1.0908,0.8223
92,1.0891,0.8226
93,1.0875,0.8174
94,1.0859,0.8169
95,1.0843,0.8175
96,1.0827,0.8177
97,1.0811,0.8118
98,1.0796,0.8185
99,1.0780,0.8046
100,1.0765,0.8115
101,1.0750,0.8107
102,1.0735,0.8103
103,1.0721,0.8215
104,1.0707,0.8065
105,1.0692,0.8079
106,1.0678,0.8061
107,1.0664,0.8057
108,1.0650,0.8059
109,1.0637,0.8015
110,1.0624,0.8060
111,1.0610,0.8049
112,1.0598,0.8026
113,1.0585,0.8018
114,1.0572,0.7948
115,1.0559,0.7842
116,1.0547,0.8013
117,1.0535,0.7946
118,1.0523,0.7996
119,1.0510,0.7887
120,1.0498,0.8025
121,1.0487,0.7800
122,1.0475,0.8015
123,1.0464,0.7896
124,1.0452,0.7932
125,1.0441,0.7886
126,1.0430,0.7864
127,1.0419,0.7865
128,1.0408,0.7831
129,1.0397,0.7945
130,1.0387,0.8001
131,1.0377,0.7924
132,1.0366,0.8024
133,1.0357,0.7908
134,1.0347,0.7935
135,1.0337,0.7967
136,1.0328,0.7934
137,1.0317,0.7686
138,1.0307,0.7766
139,1.0297,0.7670
140,1.0287,0.7762
141,1.0277,0.7759
142,1.0268,0.7692
143,1.0258,0.7698
144,1.0247,0.7673
145,1.0238,0.7596
146,1.0228,0.7563
147,1.0219,0.7643
148,1.0210,0.7737
149,1.0200,0.7577
150,1.0192,0.7614
151,1.0182,0.7667
152,1.0173,0.7666
153,1.0165,0.7712
154,1.0156,0.7630
155,1.0147,0.7642
156,1.0139,0.7591
157,1.0130,0.7594
158,1.0121,0.7560
159,1.0113,0.7614
160,1.0105,0.7691
161,1.0096,0.7474
162,1.0088,0.7616
163,1.0080,0.7596
164,1.0071,0.7544
165,1.0063,0.7587
166,1.0055,0.7564
167,1.0047,0.7570
168,1.0039,0.7582
169,1.0031,0.7499
170,1.0023,0.7453
171,1.0016,0.7541
172,1.0009,0.7660
173,1.0001,0.7479
174,0.9994,0.7554
175,0.9986,0.7525
176,0.9978,0.7441
177,0.9971,0.7524
178,0.9964,0.7482
179,0.9957,0.7441
180,0.9950,0.7461
181,0.9943,0.7450
182,0.9935,0.7351
183,0.9928,0.7499
184,0.9921,0.7372
185,0.9914,0.7448
186,0.9907,0.7409
187,0.9901,0.7473
188,0.9894,0.7417
189,0.9887,0.7449
190,0.9880,0.7348
191,0.9874,0.7370
192,0.9867,0.7352
193,0.9860,0.7346
194,0.9854,0.7452
195,0.9847,0.7414
196,0.9841,0.7461
197,0.9834,0.7329
198,0.9828,0.7369
199,0.9822,0.7326
200,0.9816,0.7500
201,0.9810,0.7340
202,0.9804,0.7437
203,0.9798,0.7252
204,0.9792,0.7448
205,0.9786,0.7351
206,0.9779,0.7280
207,0.9773,0.7337
208,0.9768,0.7420
209,0.9762,0.7359
210,0.9756,0.7374
211,0.9750,0.7368
212,0.9744,0.7301
213,0.9739,0.7435
214,0.9733,0.7371
215,0.9728,0.7331
216,0.9722,0.7353
217,0.9716,0.7216
218,0.9711,0.7431
219,0.9705,0.7381
220,0.9700,0.7392
221,0.9695,0.7308
222,0.9689,0.7243
223,0.9684,0.7251
224,0.9679,0.7338
225,0.9674,0.7349
226,0.9669,0.7375
227,0.9664,0.7478
228,0.9659,0.7415
229,0.9654,0.7350
230,0.9649,0.7187
231,0.9644,0.7296
232,0.9639,0.7410
233,0.9634,0.7265
234,0.9629,0.7326
235,0.9624,0.7140
236,0.9619,0.7290
237,0.9614,0.7267
238,0.9609,0.7257
239,0.9605,0.7386
240,0.9600,0.7301
241,0.9596,0.7329
242,0.9591,0.7190
243,0.9587,0.7411
244,0.9582,0.7259
245,0.9578,0.7274
246,0.9573,0.7302
247,0.9569,0.7194
248,0.9565,0.7294
249,0.9560,0.7146
250,0.9556,0.7345
251,0.9551,0.7262
252,0.9547,0.7312
253,0.9542,0.7343
254,0.9538,0.7169
255,0.9534,0.7225
256,0.9529,0.7169
257,0.9525,0.7221
258,0.9520,0.7158
259,0.9516,0.7096
260,0.9512,0.7256
261,0.9508,0.7279
262,0.9504,0.7348
263,0.9500,0.7296
264,0.9496,0.7238
265,0.9492,0.7246
266,0.9488,0.7343
267,0.9484,0.7269
268,0.9480,0.7321
269,0.9477,0.7297
270,0.9472,0.7117
271,0.9469,0.7173
272,0.9465,0.7288
273,0.9461,0.7179
274,0.9457,0.7209
275,0.9454,0.7229
276,0.9450,0.7297
277,0.9446,0.7157
278,0.9443,0.7328
279,0.9439,0.7311
280,0.9435,0.7210
281,0.9432,0.7196
282,0.9428,0.7291
283,0.9425,0.7242
284,0.9421,0.7281
285,0.9418,0.7256
286,0.9414,0.7051
287,0.9410,0.7145
288,0.9407,0.7106
289,0.9403,0.7172
290,0.9400,0.7167
291,0.9396,0.7147
292,0.9393,0.7180
293,0.9389,0.7142
294,0.9386,0.7228
295,0.9383,0.7216
296,0.9379,0.7243
297,0.9376,0.6981
298,0.9372,0.7137
299,0.9369,0.7124
